Exists,Entrez,FeatureID,DBFeatureID,FeatureIDMatch,Symbol,DBSymbol,SymbolMatch,Model,DBModel,ModelMatch
Y,100036627,970501,970501,1,znf687,znf687,1,XBXT10g008237,XBXT10g008237,1
Y,100036628,877084,877084,1,tet3,tet3,1,XBXT10g011882,XBXT10g011882,1
Y,100036629,922445,922445,1,axl,axl,1,XBXT10g004397,XBXT10g004397,1
Y,100036630,1032888,1032888,1,cnot1,cnot1,1,XBXT10g017011,XBXT10g017011,1
Y,100036631,478553,478553,1,lamc1,lamc1,1,XBXT10g009418,XBXT10g009418,1
Y,100036632,960013,960013,1,pcsk2,pcsk2,1,XBXT10g012267,XBXT10g012267,1
Y,100036633,1006524,1006524,1,col9a2,col9a2,1,XBXT10g004357,XBXT10g004357,1
Y,100036634,951923,951923,1,shfl,shfl,1,XBXT10g008690,XBXT10g008690,1
Y,100036635,959430,959430,1,mafk,mafk,1,XBXT10g002023,XBXT10g002023,1
Y,100036636,6457921,6457921,1,proser2,proser2,1,XBXT10g016066,XBXT10g016066,1
Y,100036637,960732,960732,1,stk3,stk3,1,XBXT10g018668,XBXT10g018668,1
Y,100036638,480785,480785,1,rasa2,rasa2,1,XBXT10g013788,XBXT10g013788,1
Y,100036639,5868140,5868140,1,heatr5a,heatr5a,1,XBXT10g006522,XBXT10g006522,1
Y,100036640,6257598,6257598,1,qser1,qser1,1,XBXT10g017657,XBXT10g017657,1
Y,100036641,992232,992232,1,tmem63c,tmem63c,1,XBXT10g008336,XBXT10g008336,1
Y,100036642,5959064,5959064,1,b4galnt4,b4galnt4,1,XBXT10g017902,XBXT10g017902,1
Y,100036643,484342,484342,1,mapk8ip2,mapk8ip2,1,XBXT10g011542,XBXT10g011542,1
Y,100036644,1013749,1013749,1,pak4,pak4,1,XBXT10g009310,XBXT10g009310,1
Y,100036645,999369,999369,1,cnnm4,cnnm4,1,XBXT10g014383,XBXT10g014383,1
Y,100036646,966769,966769,1,rhbdf2,rhbdf2,1,XBXT10g014976,XBXT10g014976,1
Y,100036647,986854,986854,1,sptan1,sptan1,1,XBXT10g018987,XBXT10g018987,1
Y,100036648,6455381,6455381,1,kif17,kif17,1,XBXT10g009069,XBXT10g009069,1
Y,100036649,1000301,1000301,1,ankmy1,ankmy1,1,XBXT10g009961,XBXT10g009961,1
Y,100036650,480278,480278,1,rab8b,rab8b,1,XBXT10g004488,XBXT10g004488,1
Y,100036651,992248,992248,1,man2c1,man2c1,1,XBXT10g015392,XBXT10g015392,1
Y,100036652,5882199,5882199,1,acsl3,acsl3,1,XBXT10g002579,XBXT10g002579,1
Y,100036653,983162,983162,1,nek1,nek1,1,XBXT10g001354,XBXT10g001354,1
Y,100036654,18006038,18006038,1,igsf3,igsf3,1,XBXT10g006265,XBXT10g006265,1
Y,100036655,990525,990525,1,mlxip,mlxip,1,XBXT10g014698,XBXT10g014698,1
Y,100036656,1007472,1007472,1,bckdha,bckdha,1,XBXT10g008791,XBXT10g008791,1
Y,100036658,952929,952929,1,fbxo11,fbxo11,1,XBXT10g016231,XBXT10g016231,1
Y,100036660,854600,854600,1,tfb2m,tfb2m,1,XBXT10g016412,XBXT10g016412,1
Y,100036661,492213,492213,1,ppp1r3a,ppp1r3a,1,XBXT10g004841,XBXT10g004841,1
Y,100036662,5872994,5872994,1,paics.2,paics.2,1,XBXT10g014410,XBXT10g014410,1
Y,496924,5853280,5853280,1,42Sp50,42sp50,1,XBXT10g009113,XBXT10g009113,1
Y,100036664,487675,487675,1,meis2,meis2,1,XBXT10g000239,XBXT10g000239,1
N,100036665,NA,,0,LOC100036665,,0,XBXT10g003024,,0
Y,100036666,991154,991154,1,rad52,rad52,1,XBXT10g018313,XBXT10g018313,1
Y,100036667,962981,962981,1,herc4,herc4,1,XBXT10g006218,XBXT10g006218,1
Y,100036668,1001585,1001585,1,iars1,iars1,1,XBXT10g001584,XBXT10g001584,1
Y,100036669,962667,962667,1,prxl2a,prxl2a,1,XBXT10g015174,XBXT10g015174,1
Y,100036670,854443,854443,1,tmeff2,tmeff2,1,XBXT10g001472,XBXT10g001472,1
Y,100036671,6458859,6458859,1,dusp8,dusp8,1,XBXT10g015799,XBXT10g015799,1
Y,100036672,992989,992989,1,brms1,brms1,1,XBXT10g014723,XBXT10g014723,1
Y,100036673,960964,960964,1,dipk1b,dipk1b,1,XBXT10g005281,XBXT10g005281,1
Y,100036674,956016,956016,1,bid,bid,1,XBXT10g011304,XBXT10g011304,1
Y,100036675,1004468,1004468,1,sbf2,sbf2,1,XBXT10g004316,XBXT10g004316,1
Y,100036676,975947,975947,1,btbd3,btbd3,1,XBXT10g007520,XBXT10g007520,1
Y,100036677,852742,852742,1,etv3,etv3,1,XBXT10g013123,XBXT10g013123,1
Y,100036678,995449,995449,1,zbtb21,zbtb21,1,XBXT10g019980,XBXT10g019980,1
Y,100036679,989359,989359,1,p3h1,p3h1,1,XBXT10g004889,XBXT10g004889,1
Y,100036680,5931269,5931269,1,heatr5b,heatr5b,1,XBXT10g007987,XBXT10g007987,1
Y,100036681,989867,989867,1,ttc17,ttc17,1,XBXT10g000422,XBXT10g000422,1
Y,100036682,1007728,1007728,1,slit1,slit1,1,XBXT10g011016,XBXT10g011016,1
Y,100036683,877004,877004,1,wnk1,wnk1,1,XBXT10g000555,XBXT10g000555,1
Y,100036684,5957307,5957307,1,gnptab,gnptab,1,XBXT10g003029,XBXT10g003029,1
Y,100036685,975856,975856,1,zswim5,zswim5,1,XBXT10g010556,XBXT10g010556,1
Y,100036686,954449,954449,1,neurl1,neurl1,1,XBXT10g007009,XBXT10g007009,1
Y,100036687,949213,949213,1,jade1,jade1,1,XBXT10g017440,XBXT10g017440,1
Y,100036688,6049805,6049805,1,clasp1,clasp1,1,XBXT10g010267,XBXT10g010267,1
Y,100036689,948966,948966,1,cabin1,cabin1,1,XBXT10g012219,XBXT10g012219,1
Y,100036690,5760041,5760041,1,usp47,usp47,1,XBXT10g016473,XBXT10g016473,1
Y,100036691,1009863,1009863,1,dusp16,dusp16,1,XBXT10g001638,XBXT10g001638,1
Y,100036692,981179,981179,1,magi3,magi3,1,XBXT10g015034,XBXT10g015034,1
Y,100036693,5755863,5755863,1,mtmr14,mtmr14,1,XBXT10g013136,XBXT10g013136,1
Y,100036694,959346,959346,1,atp6v0a1,atp6v0a1,1,XBXT10g017676,XBXT10g017676,1
Y,100036695,5960869,5960869,1,dnah14,dnah14,1,XBXT10g014081,XBXT10g014081,1
Y,100036696,958530,958530,1,plekha6,plekha6,1,XBXT10g018995,XBXT10g018995,1
Y,100036697,486996,486996,1,mrc2,mrc2,1,XBXT10g004494,XBXT10g004494,1
Y,100036698,965507,965507,1,fancd2os,fancd2os,1,XBXT10g000071,XBXT10g000071,1
Y,100036700,1014590,1014590,1,c2h1orf116,c2h1orf116,1,XBXT10g011185,XBXT10g011185,1
Y,100036701,6455341,6455341,1,znf516,znf516,1,XBXT10g000786,XBXT10g000786,1
Y,550054,5721534,5721534,1,abo.1,abo.1,1,XBXT10g019969,XBXT10g019969,1
Y,100036703,5825550,5825550,1,neurl4,neurl4,1,XBXT10g015077,XBXT10g015077,1
Y,100036704,998168,998168,1,patj,patj,1,XBXT10g014445,XBXT10g014445,1
Y,100036705,5759106,5759106,1,vcl,vcl,1,XBXT10g018074,XBXT10g018074,1
Y,100486264,1010924,1010924,1,acss2.1,acss2.1,1,XBXT10g009115,XBXT10g009115,1
Y,100036707,961883,961883,1,chsy1,chsy1,1,XBXT10g018234,XBXT10g018234,1
Y,100036708,968349,968349,1,phf12,phf12,1,XBXT10g006610,XBXT10g006610,1
Y,100036709,5931110,5931110,1,hps5,hps5,1,XBXT10g018801,XBXT10g018801,1
N,100036710,NA,,0,med1,,0,XBXT10g006921,,0
Y,100036711,479667,479667,1,pou3f4,pou3f4,1,XBXT10g014949,XBXT10g014949,1
Y,100036712,6453365,6453365,1,hamp,hamp,1,XBXT10g009513,XBXT10g009513,1
Y,100036713,6453381,6453381,1,hamp2,hamp2,1,XBXT10g016440,XBXT10g016440,1
Y,100036714,1004872,1004872,1,secisbp2,secisbp2,1,XBXT10g005526,XBXT10g005526,1
Y,100036715,6037418,6037418,1,son,son,1,XBXT10g017222,XBXT10g017222,1
Y,100036716,967329,967329,1,nid2,nid2,1,XBXT10g010313,XBXT10g010313,1
Y,100036717,984993,984993,1,trim37,trim37,1,XBXT10g000084,XBXT10g000084,1
Y,100036718,921467,921467,1,bcam,bcam,1,XBXT10g019673,XBXT10g019673,1
Y,100036719,6076062,6076062,1,bcar3,bcar3,1,XBXT10g005444,XBXT10g005444,1
Y,100036720,5878704,5878704,1,gtsf1,gtsf1,1,XBXT10g013208,XBXT10g013208,1
Y,100036721,1013472,1013472,1,asap1,asap1,1,XBXT10g019746,XBXT10g019746,1
Y,100036722,987197,987197,1,pde1b,pde1b,1,XBXT10g011473,XBXT10g011473,1
Y,100036723,951997,951997,1,wdr7,wdr7,1,XBXT10g006978,XBXT10g006978,1
Y,100036724,964524,964524,1,cacna2d1,cacna2d1,1,XBXT10g000083,XBXT10g000083,1
Y,100036725,5757720,5757720,1,clstn3,clstn3,1,XBXT10g007555,XBXT10g007555,1
Y,100036726,5762462,5762462,1,znf268,znf268,1,XBXT10g015982,XBXT10g015982,1
Y,100036727,991006,991006,1,spon1,spon1,1,XBXT10g005360,XBXT10g005360,1
Y,100036728,852703,852703,1,cers2,cers2,1,XBXT10g006551,XBXT10g006551,1
Y,100036729,1001597,1001597,1,alpk1,alpk1,1,XBXT10g012185,XBXT10g012185,1
Y,100036730,959403,959403,1,pnpla6,pnpla6,1,XBXT10g015963,XBXT10g015963,1
Y,100036731,922864,922864,1,dpf1,dpf1,1,XBXT10g008563,XBXT10g008563,1
Y,100036732,963435,963435,1,slc40a1,slc40a1,1,XBXT10g002907,XBXT10g002907,1
Y,100036733,950930,950930,1,st8sia4,st8sia4,1,XBXT10g009618,XBXT10g009618,1
Y,100036734,920106,920106,1,dnah1,dnah1,1,XBXT10g012622,XBXT10g012622,1
Y,100036735,988459,988459,1,st8sia5,st8sia5,1,XBXT10g015838,XBXT10g015838,1
Y,100036736,992405,992405,1,st8sia6,st8sia6,1,XBXT10g019275,XBXT10g019275,1
Y,100036737,1017477,1017477,1,dio2,dio2,1,XBXT10g011768,XBXT10g011768,1
Y,100036738,920152,920152,1,tpo,tpo,1,XBXT10g007526,XBXT10g007526,1
Y,100036739,5777294,5777294,1,cmas,cmas,1,XBXT10g017405,XBXT10g017405,1
Y,100036740,955909,955909,1,gip,gip,1,XBXT10g008724,XBXT10g008724,1
Y,100037834,968871,968871,1,nrip1,nrip1,1,XBXT10g014180,XBXT10g014180,1
Y,100037836,5884411,5884411,1,cep78,cep78,1,XBXT10g010256,XBXT10g010256,1
Y,496883,972681,972681,1,acy1.1,acy1.1,1,XBXT10g005421,XBXT10g005421,1
Y,100037838,5902559,5902559,1,iqsec3,iqsec3,1,XBXT10g002851,XBXT10g002851,1
Y,100037839,852641,852641,1,nell2,nell2,1,XBXT10g017977,XBXT10g017977,1
Y,100037840,949827,949827,1,ppp3cb,ppp3cb,1,XBXT10g012360,XBXT10g012360,1
Y,100037841,940365,940365,1,ogfrl1,ogfrl1,1,XBXT10g017686,XBXT10g017686,1
Y,100037843,5947997,5947997,1,adap1,adap1,1,XBXT10g007149,XBXT10g007149,1
Y,100037844,963972,963972,1,cntnap1,cntnap1,1,XBXT10g012861,XBXT10g012861,1
Y,100037845,5819524,5819524,1,plxna1,plxna1,1,XBXT10g014705,XBXT10g014705,1
Y,100037846,1011028,1011028,1,arhgap21,arhgap21,1,XBXT10g018319,XBXT10g018319,1
Y,100037847,961347,961347,1,reep2,reep2,1,XBXT10g011439,XBXT10g011439,1
Y,100037848,990574,990574,1,fam117b,fam117b,1,XBXT10g018465,XBXT10g018465,1
Y,100037849,975095,975095,1,tab2,tab2,1,XBXT10g003936,XBXT10g003936,1
Y,100037850,6049186,6049186,1,necap2,necap2,1,XBXT10g000842,XBXT10g000842,1
Y,100037851,494405,494405,1,svil,svil,1,XBXT10g012701,XBXT10g012701,1
Y,100037852,1012090,1012090,1,sh3gl2,sh3gl2,1,XBXT10g015451,XBXT10g015451,1
Y,100037853,955554,955554,1,bdnf,bdnf,1,XBXT10g007424,XBXT10g007424,1
Y,100037854,5750851,5750851,1,tmem151b,tmem151b,1,XBXT10g007462,XBXT10g007462,1
Y,100037855,852586,852586,1,arhgap33,arhgap33,1,XBXT10g004751,XBXT10g004751,1
Y,100037857,961157,961157,1,ppp3cc,ppp3cc,1,XBXT10g019840,XBXT10g019840,1
Y,100037858,5941647,5941647,1,slc29a3,slc29a3,1,XBXT10g003136,XBXT10g003136,1
Y,100037859,5839942,5839942,1,rbp4l,rbp4l,1,XBXT10g010397,XBXT10g010397,1
Y,100037860,5955201,5955201,1,ctnna2,ctnna2,1,XBXT10g008495,XBXT10g008495,1
Y,100037861,960432,960432,1,itgb6,itgb6,1,XBXT10g017863,XBXT10g017863,1
Y,100037862,952700,952700,1,mphosph9,mphosph9,1,XBXT10g011392,XBXT10g011392,1
Y,100037864,5769563,5769563,1,selenom,selenom,1,XBXT10g012361,XBXT10g012361,1
Y,100488450,982024,982024,1,adam28.1,adam28.1,1,XBXT10g018166,XBXT10g018166,1
Y,100037866,6454943,6454943,1,pop7,pop7,1,XBXT10g017326,XBXT10g017326,1
Y,100037867,1009224,1009224,1,zranb3,zranb3,1,XBXT10g017073,XBXT10g017073,1
Y,100037868,479083,479083,1,apom,apom,1,XBXT10g008070,XBXT10g008070,1
Y,100037869,956917,956917,1,cenpv,cenpv,1,XBXT10g016883,XBXT10g016883,1
Y,100037870,979723,979723,1,agk,agk,1,XBXT10g019469,XBXT10g019469,1
Y,100037871,941198,941198,1,lamp5,lamp5,1,XBXT10g010071,XBXT10g010071,1
Y,100037872,867509,867509,1,pde7b,pde7b,1,XBXT10g006470,XBXT10g006470,1
Y,100037873,963306,963306,1,pmf1,pmf1,1,XBXT10g006890,XBXT10g006890,1
Y,100037874,5821575,5821575,1,cyp3a5,cyp3a5,1,XBXT10g016291,XBXT10g016291,1
Y,100037875,5851849,5851849,1,hsd11b1l,hsd11b1l,1,XBXT10g018826,XBXT10g018826,1
Y,100037876,5856779,5856779,1,cdk16,cdk16,1,XBXT10g000082,XBXT10g000082,1
Y,100037877,953121,953121,1,smug1,smug1,1,XBXT10g013509,XBXT10g013509,1
Y,100037878,978920,978920,1,syt8,syt8,1,XBXT10g008730,XBXT10g008730,1
Y,100037879,5752629,5752629,1,syt1,syt1,1,XBXT10g011668,XBXT10g011668,1
Y,100037880,5798591,5798591,1,c9h2orf76,c9h2orf76,1,XBXT10g009083,XBXT10g009083,1
Y,100037881,956400,956400,1,caps,caps,1,XBXT10g010808,XBXT10g010808,1
Y,100037882,960365,960365,1,ing1,ing1,1,XBXT10g011070,XBXT10g011070,1
Y,100037883,5831223,5831223,1,rnls,rnls,1,XBXT10g016141,XBXT10g016141,1
Y,100037884,5823898,5823898,1,zbtb6,zbtb6,1,XBXT10g010099,XBXT10g010099,1
Y,100037885,967059,967059,1,hikeshi,hikeshi,1,XBXT10g003362,XBXT10g003362,1
Y,100037886,494227,494227,1,ring1,ring1,1,XBXT10g001898,XBXT10g001898,1
Y,100037887,6257590,6257590,1,efcc1,efcc1,1,XBXT10g028986,XBXT10g028986,1
Y,100037888,5799643,5799643,1,wbp1l,wbp1l,1,XBXT10g015758,XBXT10g015758,1
Y,100037889,5767975,5767975,1,obi1,obi1,1,XBXT10g019705,XBXT10g019705,1
Y,100037890,995975,995975,1,hyal4,hyal4,1,XBXT10g006590,XBXT10g006590,1
Y,100037892,5954792,5954792,1,thap11,thap11,1,XBXT10g012796,XBXT10g012796,1
Y,100037893,489326,489326,1,cnmd,cnmd,1,XBXT10g010420,XBXT10g010420,1
Y,100037894,491247,491247,1,tuba8,tuba8,1,XBXT10g013377,XBXT10g013377,1
Y,100037895,974251,974251,1,thtpa,thtpa,1,XBXT10g000841,XBXT10g000841,1
Y,100037897,1016694,1016694,1,ankrd2,ankrd2,1,XBXT10g011378,XBXT10g011378,1
Y,100037898,487933,487933,1,agpat1,agpat1,1,XBXT10g011137,XBXT10g011137,1
Y,100037899,485626,485626,1,hsp70,hsp70,1,XBXT10g003397,XBXT10g003397,1
Y,100037900,966887,966887,1,rho,rho,1,XBXT10g007799,XBXT10g007799,1
N,100037901,NA,,0,LOC100037901,,0,XBXT10g009110,,0
Y,100037902,1012688,1012688,1,kazn,kazn,1,XBXT10g015387,XBXT10g015387,1
Y,100037903,22063274,22063274,1,sult6b1.5,sult6b1.5,1,XBXT10g008587,XBXT10g008587,1
Y,100037904,491021,491021,1,sst.1,sst.1,1,XBXT10g003161,XBXT10g003161,1
Y,100037905,1009790,1009790,1,arhgef1,arhgef1,1,XBXT10g001600,XBXT10g001600,1
Y,100037906,5738866,5738866,1,ttc7b,ttc7b,1,XBXT10g005659,XBXT10g005659,1
Y,100037907,961613,961613,1,b3gat1,b3gat1,1,XBXT10g000255,XBXT10g000255,1
Y,100037908,495296,495296,1,sfrpx,sfrpx,1,XBXT10g012794,XBXT10g012794,1
Y,100037909,953000,953000,1,anxa3,anxa3,1,XBXT10g009182,XBXT10g009182,1
Y,100037910,959557,959557,1,ppdpf,ppdpf,1,XBXT10g000516,XBXT10g000516,1
Y,100037911,990173,990173,1,cyp1a1,cyp1a1,1,XBXT10g011118,XBXT10g011118,1
Y,100037912,942413,942413,1,macir,macir,1,XBXT10g002885,XBXT10g002885,1
Y,100037913,5740434,5740434,1,clvs1,clvs1,1,XBXT10g000370,XBXT10g000370,1
Y,100037914,484627,484627,1,mip,mip,1,XBXT10g018217,XBXT10g018217,1
Y,100037915,5893530,5893530,1,epha10,epha10,1,XBXT10g013117,XBXT10g013117,1
Y,100037916,5885684,5885684,1,syndig1,syndig1,1,XBXT10g003652,XBXT10g003652,1
Y,100037917,969520,969520,1,col8a1,col8a1,1,XBXT10g018456,XBXT10g018456,1
Y,100037918,954377,954377,1,pacrgl,pacrgl,1,XBXT10g014471,XBXT10g014471,1
Y,100037919,487844,487844,1,eya2,eya2,1,XBXT10g010093,XBXT10g010093,1
Y,100038034,479074,479074,1,csnk1g3,csnk1g3,1,XBXT10g008487,XBXT10g008487,1
Y,100038035,479760,479760,1,frs2,frs2,1,XBXT10g008757,XBXT10g008757,1
Y,100038036,480884,480884,1,ccdc15,ccdc15,1,XBXT10g006863,XBXT10g006863,1
Y,100038037,481598,481598,1,brd2,brd2,1,XBXT10g005924,XBXT10g005924,1
Y,100038038,482368,482368,1,sia1,sia1,1,XBXT10g010692,XBXT10g010692,1
Y,100038039,482566,482566,1,nr2f2,nr2f2,1,XBXT10g002781,XBXT10g002781,1
Y,100038040,483370,483370,1,gem,gem,1,XBXT10g005768,XBXT10g005768,1
N,100038041,NA,,0,LOC100038041,,0,XBXT10g006183,,0
Y,100038042,486033,486033,1,lemd3,lemd3,1,XBXT10g006494,XBXT10g006494,1
Y,100038043,486491,486491,1,prkcb,prkcb,1,XBXT10g011759,XBXT10g011759,1
Y,100038044,486846,486846,1,naa25,naa25,1,XBXT10g007318,XBXT10g007318,1
Y,100038045,487087,487087,1,slf2,slf2,1,XBXT10g001792,XBXT10g001792,1
Y,100038047,492176,492176,1,riok1,riok1,1,XBXT10g005853,XBXT10g005853,1
Y,100038048,492646,492646,1,gpr157,gpr157,1,XBXT10g011835,XBXT10g011835,1
Y,100038049,493308,493308,1,cdk12,cdk12,1,XBXT10g018772,XBXT10g018772,1
Y,100038050,493422,493422,1,fgd4,fgd4,1,XBXT10g008290,XBXT10g008290,1
Y,100038051,853455,853455,1,celsr1,celsr1,1,XBXT10g016999,XBXT10g016999,1
Y,100038052,480836,480836,1,rara,rara,1,XBXT10g010758,XBXT10g010758,1
Y,100038053,482702,482702,1,prkacb,prkacb,1,XBXT10g017366,XBXT10g017366,1
Y,100038054,487802,487802,1,cdkn1a,cdkn1a,1,XBXT10g018726,XBXT10g018726,1
Y,100038055,855791,855791,1,appl1,appl1,1,XBXT10g012125,XBXT10g012125,1
Y,100038056,854532,854532,1,dynll2,dynll2,1,XBXT10g019511,XBXT10g019511,1
Y,100038057,478230,478230,1,mbip,mbip,1,XBXT10g015421,XBXT10g015421,1
Y,100038058,478462,478462,1,hoxd3,hoxd3,1,XBXT10g003364,XBXT10g003364,1
Y,100038059,478518,478518,1,not,not,1,XBXT10g002998,XBXT10g002998,1
Y,100038060,478771,478771,1,fga,fga,1,XBXT10g014868,XBXT10g014868,1
Y,100038061,981363,981363,1,fanci,fanci,1,XBXT10g017588,XBXT10g017588,1
Y,100038062,479011,479011,1,rab2a,rab2a,1,XBXT10g015863,XBXT10g015863,1
Y,100038110,490420,490420,1,adcy3,dnajc27,,XBXT10g010297,XBXT10g010297,1
Y,100038065,479769,479769,1,eomes,eomes,1,XBXT10g008105,XBXT10g008105,1
Y,100038066,479795,479795,1,kng1,kng1,1,XBXT10g002441,XBXT10g002441,1
Y,100038067,480249,480249,1,scyl3,scyl3,1,XBXT10g003010,XBXT10g003010,1
Y,100038068,480570,480570,1,irx4,irx4,1,XBXT10g006772,XBXT10g006772,1
Y,100038069,481028,481028,1,emx2,emx2,1,XBXT10g007346,XBXT10g007346,1
Y,100038070,481100,481100,1,ptges2,ptges2,1,XBXT10g015627,XBXT10g015627,1
Y,100038071,481219,481219,1,ccnd2,ccnd2,1,XBXT10g010377,XBXT10g010377,1
Y,100038072,481307,481307,1,smad6,smad6,1,XBXT10g012255,XBXT10g012255,1
Y,100038073,481474,481474,1,aqp11,aqp11,1,XBXT10g007611,XBXT10g007611,1
Y,100038074,481654,481654,1,tnfsf11,tnfsf11,1,XBXT10g010562,XBXT10g010562,1
Y,100038075,481670,481670,1,ell2,ell2,1,XBXT10g006653,XBXT10g006653,1
Y,100038077,482219,482219,1,nkx2-2,nkx2-2,1,XBXT10g008461,XBXT10g008461,1
Y,100038078,482248,482248,1,rcor2,rcor2,1,XBXT10g007358,XBXT10g007358,1
Y,100038079,482721,482721,1,e2f4,e2f4,1,XBXT10g003202,XBXT10g003202,1
Y,100038081,484162,484162,1,tcf20,tcf20,1,XBXT10g002311,XBXT10g002311,1
Y,100038082,484322,484322,1,fzd3,fzd3,1,XBXT10g019652,XBXT10g019652,1
Y,100038083,484400,484400,1,prrt1,prrt1,1,XBXT10g013703,XBXT10g013703,1
Y,100038084,484527,484527,1,nkx6-2,nkx6-2,1,XBXT10g003047,XBXT10g003047,1
Y,100038085,485204,485204,1,hoxd10,hoxd10,1,XBXT10g019897,XBXT10g019897,1
Y,100038087,485597,485597,1,ccnj,ccnj,1,XBXT10g003660,XBXT10g003660,1
Y,100038088,485691,485691,1,smad4,smad4,1,XBXT10g001063,XBXT10g001063,1
Y,100038089,485744,485744,1,vegfa,vegfa,1,XBXT10g016348,XBXT10g016348,1
Y,100038090,486138,486138,1,hes2,hes2,1,XBXT10g008393,XBXT10g008393,1
Y,100038091,486445,486445,1,sox21,sox21,1,XBXT10g011060,XBXT10g011060,1
Y,100038092,486532,486532,1,rhd,rhd,1,XBXT10g001704,XBXT10g001704,1
Y,100038093,486576,486576,1,grhl1,grhl1,1,XBXT10g002944,XBXT10g002944,1
Y,100038094,486951,486951,1,nkx2-6,nkx2-6,1,XBXT10g001194,XBXT10g001194,1
Y,100038095,487210,487210,1,mcph1,mcph1,1,XBXT10g005356,XBXT10g005356,1
Y,100038096,487236,487236,1,cux2,cux2,1,XBXT10g003554,XBXT10g003554,1
Y,100038097,487318,487318,1,mixer,mixer,1,XBXT10g007541,XBXT10g007541,1
Y,100038098,487684,487684,1,ppp1r14c,ppp1r14c,1,XBXT10g014866,XBXT10g014866,1
Y,100038099,488087,488087,1,hoxa2,hoxa2,1,XBXT10g014478,XBXT10g014478,1
Y,100038100,488230,488230,1,sfrp1,sfrp1,1,XBXT10g012714,XBXT10g012714,1
Y,100038101,488758,488758,1,h3-3b,h3-3b,1,XBXT10g010945,XBXT10g010945,1
Y,100038102,488895,488895,1,rin3,rin3,1,XBXT10g002113,XBXT10g002113,1
Y,100038103,489238,489238,1,gjb3,gjb3,1,XBXT10g007907,XBXT10g007907,1
Y,100038104,489355,489355,1,kifc1,kifc1,1,XBXT10g008026,XBXT10g008026,1
Y,100038105,489416,489416,1,carhsp1,carhsp1,1,XBXT10g015790,XBXT10g015790,1
