#XT_gene	HS_gene	OrthoID
100124308	51377	6233
100124309	9101	1789
100124310	58158	7939
100124311	641	1782
100124312	222894	12362
100124313	57695	1894
100124314	63967	2681
100124315	2125	540
100124316	390259	9842
100124317	59286	12314
100124318	653361	7065
100124318	NA	7065
100124319	6478	6295
100124320	3216	9593
100124322	78990	10885
100124324	11065	10318
100124325	10457	6259
100124326	79602	5275
100124327	90678	3474
100124328	1201	7513
100124329	8929	7270
100124330	255488	7534
100124509	55153	2289
100124655	129642	4428
100124656	160335	1398
100124657	9873	1850
100124701	26011	54
100124702	388403	10886
100124705	22981	3468
100124706	51114	6032
100124707	11123	8969
100124708	2562	3761
100124710	55970	12527
100124711	1108	190
100124712	29985	8268
100124714	23181	299
100124715	84440	3912
100124716	6091	258
100124717	221687	8466
100124722	5097	1241
100124723	4355	3839
100124725	11128	326
100124728	22999	377
100124729	7782	6629
100124730	8618	363
100124731	22941	597
100124732	8659	3380
100124734	3897	2114
100124735	2073	2721
100124737	1821	1717
100124738	2313	4006
100124739	104	2313
100124740	123096	7779
100124741	55454	3665
100124743	83852	7401
100124744	80723	5291
100124745	50859	4577
100124746	9675	3586
100124747	64746	3882
100124748	3709	68
100124749	3710	86
100124750	355	12079
100124751	10197	7795
100124752	3098	1086
100124753	376940	3582
100124755	5298	1540
100124757	124935	3091
100124759	5549	7032
100124760	80325	4742
100124761	115019	2638
100124762	57587	9891
100124763	23286	1327
100124765	1607	1368
100124766	3798	825
100124767	122416	10268
100124768	8936	3154
100124769	51491	11716
100124770	9049	7927
100124773	5028	5823
100124774	123283	2043
100124777	6925	1919
100124778	586	6323
100124779	10165	2056
100124780	23659	5992
100124782	8487	8280
100124785	90624	12340
100124786	4635	9720
100124787	22974	5414
100124788	2121	4799
100124789	356	11093
100124790	9242	11463
100124791	7391	7104
100124792	51466	5259
100124794	10608	10104
100124796	9306	3290
100124797	9798	7071
100124800	23057	6351
100124801	115426	2343
100124802	11321	6622
100124803	155066	12072
100124804	79877	10845
100124805	23091	691
100124806	79661	8900
100124807	4695	12383
100124808	10218	6617
100124809	3982	10393
100124811	10398	9536
100124813	90231	5105
100124816	127703	12710
100124817	377007	4872
100124819	26576	4304
100124822	81502	6094
100124823	6249	974
100124824	84969	6188
100124825	28954	10656
100124826	81576	7445
100124828	10815	11141
100124829	6988	12700
100124830	200008	7331
100124831	81857	3125
100124832	441250	2451
100124832	55253	2451
100124833	28984	12049
100124834	645	10906
100124835	84141	11345
100124836	79575	5667
100124837	93145	4379
100124838	8131	3043
100124839	NA	11253
100124840	25911	10270
100124843	2779	5208
100124844	64773	10461
100124844	91523	10461
100124845	144402	2590
100124846	253190	10982
100124846	NA	10982
100124847	10279	8604
100124848	800	4244
100124849	5686	7802
100124856	58527	12304
100124857	28957	11986
100124858	64129	5301
100124860	123879	7590
100124861	64949	12478
100124863	2978	10157
100124866	219988	6997
100124867	2793	12715
100124868	1200	4930
100124869	285282	8332
100124871	9139	3219
100124873	51537	11168
100124875	56938	5760
100124876	246243	9965
100124877	55217	5688
100124878	4016	6208
100124879	6579	5485
100124881	150737	2361
100124881	92104	2361
100124882	4885	5685
100124883	116461	12438
100124884	79811	2215
100124885	54931	9034
100124886	29919	2376
100124890	63979	4426
100124891	5318	4543
100124892	64928	11522
100124893	1902	5228
100124895	5899	8864
100124896	26515	12534
100124897	283237	11719
100124898	338599	10499
100124899	284194	10850
100124899	3965	10850
100124899	654346	10850
100124900	6247	9505
100124901	3625	6397
100124902	64220	7567
100124903	353116	5804
100124904	10979	1635
100124905	2645	4469
100124906	113829	9968
100124907	29995	7861
100124908	132789	6787
100124909	3764	4788
100124911	8535	7538
100124912	55776	12091
100124913	200894	5973
100124914	92106	9230
100124915	8624	10586
100124916	143458	6973
100124917	5956	5726
100124917	728458	5726
100124918	121643	6051
100124919	27112	7681
100124920	11245	4632
100124921	64850	4518
100124922	54878	1320
100124924	64374	8231
100124925	4857	3144
100124927	388695	11872
100124928	84152	12389
100124929	2962	4346
100124930	50651	2121
100124931	1606	2818
100124933	92922	5442
100124935	112755	6545
100124936	79447	10924
100124939	441478	11400
100124940	339983	9621
100124942	4225	3363
100124943	54947	4844
100124944	339778	11952
100124945	3329	2832
100124946	374654	1309
100124947	5906	9440
100124948	7993	11626
100124949	94030	2683
100124952	51101	8151
100124953	140689	9445
100124954	56952	9754
100124955	1974	4130
100124956	2218	5365
100124957	NA	5781
100124958	84312	6210
100124959	124641	11297
100124960	7429	1963
100124961	283989	7761
100124962	25817	11772
100124963	55819	5698
100124964	54886	6105
100124965	51008	8499
100124966	10243	1366
100124968	8303	12218
100124969	9270	9879
100124970	29883	6339
100124971	113655	9351
100124972	23731	1864
100124973	149175	4960
100124974	122704	12562
100124975	24146	10773
100124976	150677	12679
100124977	83608	12008
100124978	2792	12506
100124979	338382	11027
100124980	64342	9843
100124981	6242	6856
100124982	57662	2388
100124983	11320	3344
100124984	4045	6679
100124985	5099	835
100124986	152992	4468
100124987	94101	10100
100124989	27340	145
100124992	6509	4429
100124993	4161	7048
100124994	22954	3021
100124995	55203	3309
100124996	10788	461
100124997	114798	2031
100124998	3754	4184
100124999	7226	611
100125000	26086	3250
100125001	84895	3998
100125002	10712	6044
100125003	79989	2874
100125004	10307	7008
100125005	54518	4516
100125006	11080	6228
100125007	148398	5677
100125008	57162	3679
100125009	9258	1429
100125010	956	5493
100125011	166793	9136
100125012	151835	3165
100125013	57381	9217
100125014	79625	2831
100125015	3752	1960
100125016	23002	765
100125017	148362	4796
100125018	2356	4678
100125019	146330	4342
100125020	403313	9153
100125021	51069	8583
100125023	56134	1903
100125023	56136	3206
100125023	56137	3206
100125023	56138	3206
100125023	56139	3206
100125023	56140	3206
100125023	56141	3206
100125023	56142	3206
100125023	56143	3206
100125023	56144	3206
100125023	56145	3206
100125023	56146	3206
100125023	56147	3206
100125023	9752	3206
100125024	10369	5801
100125025	2309	3233
100125026	9776	4422
100125027	2561	3565
100125028	64168	6347
100125029	678	7854
100125031	116	11850
100125032	9699	390
100125033	23229	2906
100125034	23157	4105
100125035	56062	2008
100125037	11309	5411
100125038	23469	1387
100125039	10718	3414
100125040	84959	2281
100125041	6733	2034
100125042	119	3492
100125045	8727	2775
100125047	124930	2784
100125048	3769	7785
100125050	477	709
100125052	2893	931
100125053	9701	2074
100125054	30844	3253
100125057	169611	3970
100125058	84954	6554
100125059	9980	216
100125060	10057	412
100125061	80228	8284
100125062	256130	10339
100125063	51361	2795
100125064	9381	295
100125065	9909	1035
100125066	375323	8310
100125069	5413	4920
100125070	9764	6004
100125071	10586	4790
100125072	115207	7701
100125073	3914	1962
100125074	51527	11612
100125077	57699	2908
100125079	570	8504
100125080	1804	1843
100125082	4524	2372
100125084	29106	7271
100125085	51673	10492
100125086	11258	11129
100125088	4326	3670
100125089	2894	882
100125090	10771	2288
100125091	5803	511
100125093	100129480	11293
100125094	11231	1726
100125095	80306	10577
100125096	11248	9921
100125097	51760	3661
100125098	5332	561
100125100	5801	3001
100125101	652968	7886
100125102	84458	5461
100125103	125228	10676
100125104	55329	6359
100125105	131965	8131
100125106	701	3866
100125108	7135	10216
100125109	1413	9589
100125110	80775	10645
100125111	6210	10798
100125112	11240	3875
100125113	4702	10429
100125114	2281	11478
100125115	9547	12192
100125116	54934	4744
100125118	5091	599
100125119	790	148
100125121	10163	5101
100125122	4724	10584
100125123	8786	5530
100125124	859	11249
100125125	55793	6433
100125127	23219	6574
100125128	26589	10109
100125129	126326	7976
100125130	79135	11446
100125131	155051	10923
100125132	1146	5593
100125133	26276	3027
100125134	161823	7759
100125136	273	3465
100125137	7263	8818
100125138	4931	2145
100125139	25801	10341
100125140	8266	12181
100125141	11345	11146
100125142	55167	3914
100125143	51388	9498
100125144	55572	6025
100125145	1347	12575
100125145	NA	12575
100125146	83442	12556
100125147	51506	9862
100125148	53826	12509
100125148	NA	12509
100125150	127124	12312
100125151	140823	12148
100125152	7299	4086
100125153	1396	12166
100125154	6305	291
100125155	154467	12624
100125156	79918	7283
100125157	23585	10278
100125158	10083	4131
100125159	5524	6450
100125161	27258	11636
100125162	4358	10467
100125163	278	3595
100125163	279	3595
100125163	280	3595
100125164	115330	8265
100125165	1996	4806
100125167	8110	5387
100125169	9868	3007
100125170	4085	9841
100125171	10985	101
100125172	391356	12024
100125173	2538	6727
100125174	6637	12360
100125174	NA	12360
100125175	57700	1817
100125176	1428	8014
100125177	151903	11263
100125178	10101	8018
100125179	1411	9072
100125180	11199	6780
100125181	23595	3279
100125182	51575	3097
100125183	7276	12057
100125184	23078	264
100125185	79643	10264
100125186	9275	11034
100125187	63950	6466
100125188	138151	3384
100125190	50515	5266
100125191	492	509
100125192	54981	11069
100125193	1012	2596
100125194	55290	8016
100125195	50810	9148
100125197	51384	5892
100125198	7473	4923
100125200	7484	7393
100125202	2674	5439
100125205	59285	10507
100125206	3755	4207
100125207	3298	5618
100125208	84102	3498
100125209	7458	8972
100125210	8195	6092
100125211	23036	443
100125212	582	4039
100125213	7468	725
100125214	4952	1594
100125215	611	6214
100125216	55212	1972
100125217	4218	8628
100125218	6688	9159
100125219	27023	6419
100125220	4477	12873
100125342	55084	1520
100125781	219899	4970
100125782	1014	6887
100125783	571	5770
100125784	57798	8128
100125785	55734	8181
100125786	4957	3606
100125787	3895	1667
100125788	4807	11809
100125789	23526	2029
100125790	80230	3613
100125791	8214	10623
100125791	85359	10623
100125793	11328	3320
100125795	9692	6995
100125884	8029	87
100125978	6612	11748
100126056	5977	4673
100126057	9219	2007
100126059	80258	3955
100126060	152518	1302
100126061	6018	1206
100126062	84146	1574
100126063	604	2929
100126064	2551	4100
100126065	83637	1728
100126066	7029	6623
100126067	56888	4622
100126068	11244	2170
100126207	22887	3184
100126208	166336	1489
100126209	6943	9885
100126210	940	12655
100126212	5463	7815
100126213	23632	9672
100126214	54209	12768
100126215	26999	362
100126216	3727	9319
100126217	10075	14
100126218	51230	2705
100126219	11176	1562
100126220	4605	4852
100126222	100505385	5067
100126222	29970	5067
100126440	7528	5276
100126441	115	764
100126677	665	9914
100126678	1062	3223
100126679	9529	6390
100126680	5134	8497
100126681	54962	11140
100126682	2239	4087
100126683	8914	1179
100126684	23176	3951
100126685	114803	3195
100126686	1028	12784
100126687	2178	11610
100126814	55502	11736
100127174	10631	2546
100127176	654	5394
100127177	4607	920
100127178	183	10996
100127180	11254	3172
100127181	1840	2708
100127182	347252	10636
100127183	340547	11392
100127184	6691	12982
100127186	4879	13030
100127187	1780	2176
100127188	64852	7134
100127189	8648	843
100127191	63891	573
100127192	4606	992
100127193	55333	12201
100127194	79008	10166
100127195	116842	12904
100127196	112858	9658
100127197	11197	5082
100127198	4208	3299
100127199	6433	2286
100127202	55198	2889
100127203	11343	8505
100127205	9194	5171
100127543	135138	8619
100127544	203062	10290
100127545	4880	12531
100127546	547	253
100127547	729993	7379
100127548	23362	2614
100127549	147381	9806
100127550	56850	2798
100127551	135	7642
100127552	127254	5107
100127553	22998	4510
100127554	54980	4110
100127555	196441	558
100127557	23148	8358
100127558	23451	341
100127559	51412	4400
100127561	55619	184
100127562	5018	8157
100127563	83891	1705
100127565	142683	8057
100127565	55600	8057
100127567	490	472
100127569	2890	1015
100127570	143279	1736
100127571	122060	5711
100127572	1912	5264
100127574	10367	4338
100127576	25976	3929
100127577	22841	6582
100127578	64838	10540
100127580	1363	4205
100127581	55083	232
100127582	57509	5783
100127583	259282	3540
100127584	9590	4770
100127586	57562	9191
100127587	29915	3143
100127588	114876	1331
100127589	5373	8730
100127590	129049	858
100127591	8722	8037
100127592	94005	5715
100127593	54665	3494
100127594	133746	1991
100127595	27341	9684
100127596	256979	11907
100127597	1522	7623
100127598	10750	10158
100127599	80745	9094
100127600	85395	11967
100127601	64779	7882
100127602	81602	5126
100127603	125981	9807
100127604	8725	6428
100127605	118426	9917
100127607	245711	8715
100127608	9236	5403
100127609	55841	1365
100127610	9179	6686
100127611	55331	7788
100127613	25980	7632
100127614	115106	10251
100127615	2622	4530
100127616	84265	9521
100127617	151827	8119
100127618	254158	10803
100127619	79903	8400
100127621	340061	11039
100127623	9537	10319
100127625	123920	11619
100127626	112611	8955
100127627	11316	7311
100127629	730112	11647
100127630	389125	12677
100127631	4327	6063
100127633	221322	1140
100127635	57099	11733
100127636	81615	8363
100127638	124056	10925
100127639	58512	2314
100127640	9821	577
100127641	1501	504
100127642	7466	1642
100127643	55346	6081
100127644	2036	2858
100127645	55074	2453
100127646	7200	12887
100127647	9378	307
100127648	57628	1866
100127649	26289	3887
100127652	7862	557
100127653	23081	1483
100127654	55124	1989
100127655	85302	3594
100127656	113612	5151
100127657	143098	2845
100127660	55152	7817
100127661	23403	8312
100127662	27315	10051
100127663	1950	2724
100127664	2917	1132
100127665	23294	1986
100127666	1949	9075
100127668	221458	3073
100127669	22865	1338
100127670	23355	493
100127671	256536	6054
100127674	120227	4528
100127676	54897	386
100127677	114770	9898
100127678	6869	6059
100127679	25953	8375
100127680	116983	1766
100127682	6529	2231
100127683	2892	1020
100127684	83985	5030
100127685	51763	8140
100127686	1063	3690
100127687	57596	5725
100127688	144568	2073
100127689	26064	3177
100127690	79595	1615
100127691	6314	2792
100127692	395	2580
100127693	130574	10860
100127694	79819	4137
100127695	9563	2919
100127696	283373	826
100127696	91526	826
100127697	11099	762
100127698	283471	11072
100127700	6507	3187
100127701	5797	319
100127702	6650	1605
100127703	57479	1415
100127704	29767	6825
100127705	1132	5201
100127706	23324	1884
100127708	283464	5465
100127709	5297	124
100127716	131450	12447
100127716	344807	12447
100127717	2675	7481
100127718	25824	11375
100127719	114897	10600
100127720	4708	12331
100127721	388364	11628
100127723	10100	10841
100127724	5368	12716
100127725	3105	11202
100127725	3106	11202
100127725	3107	11202
100127725	3133	11202
100127725	3134	11202
100127725	3135	11202
100127725	NA	11202
100127726	257194	5839
100127727	3111	11082
100127727	3113	11082
100127727	3117	11082
100127727	3118	11082
100127727	3122	11082
100127728	50618	372
100127729	339210	12580
100127730	134	7974
100127731	23637	743
100127732	5054	8602
100127733	7538	11221
100127734	51601	7431
100127737	160428	1069
100127739	51122	10048
100127741	113	1655
100127742	29108	12611
100127743	7518	10652
100127744	80301	10687
100127746	10195	6127
100127747	23180	7342
100127749	64428	4816
100127751	7706	7377
100127755	283130	9468
100127757	7033	12931
100127758	118932	10843
100127760	284106	12654
100127762	55258	6090
100127763	624	9164
100127764	4726	11996
100127767	8826	285
100127768	768211	10629
100127769	4056	11844
100127772	388722	12686
100127773	27134	3453
100127774	51690	11587
100127775	348262	12237
100127776	59349	6186
100127777	654483	12488
100127778	54617	367
100127779	347475	12503
100127780	100885848	12433
100127781	1475	12800
100127781	1476	12800
100127790	4340	12830
100127791	5507	8831
100127792	80820	4397
100127793	5973	6365
100127795	4947	9769
100127796	347741	7677
100127797	83448	5143
100127798	435	4974
100127799	93343	11509
100127801	55924	11994
100127801	NA	11994
100127802	23463	8331
100127804	79568	10936
100127806	137735	10874
100127807	57661	3235
100127808	11098	5936
100127809	255798	12709
100127810	100996758	9023
100127810	5540	9023
100127812	100631383	11769
100127812	158724	11769
100127812	442444	11769
100127812	NA	11769
100127813	64108	12396
100127813	83597	12396
100127814	83547	11435
100127815	7108	6417
100127816	285386	10539
100127818	55556	4596
100127821	4848	2662
100127822	23338	3059
100127823	200558	9738
100127824	9456	5436
100127825	221091	12493
100127840	1894	1423
100127841	9317	6567
100127842	55030	6115
100127844	85440	110
100127845	79629	12661
100127846	23499	8
100127849	119587	2253
100127853	125061	10712
100127857	142683	8057
100127857	55600	8057
100127858	4143	4941
100127861	55627	2375
100127862	4023	4873
100127863	9477	9595
100127865	114569	11484
100127866	203054	5008
100127867	90313	12208
100127868	6649	11175
100127869	92979	7054
100127870	83932	8501
100127871	375748	1601
100127872	NA	12298
100127874	92170	7968
100127876	84945	5862
100127877	5876	5534
100127878	26130	359
100127880	139212	12019
100134991	7124	12707
100134992	3481	11948
100134993	2191	2800
100134994	687	9871
100134995	5629	1662
100134996	4282	12136
100134997	85004	9146
100134998	9672	10705
100134999	285190	637
100134999	400966	637
100134999	5903	637
100134999	653489	637
100134999	727851	637
100134999	729857	637
100134999	84220	637
100135000	150465	5748
100135001	4049	12731
100135002	948	6667
100135003	29102	533
100135004	265	12146
100135004	266	12146
100135005	80115	7441
100135007	11083	939
100135008	8477	10315
100135009	5165	4847
100135011	79038	9290
100135012	721	2021
100135014	3001	11450
100135015	7080	6930
100135017	3730	2631
100135018	1154	10741
100135019	50617	1697
100135020	201134	2319
100135021	133	12585
100135022	4050	12922
100135024	51330	12994
100135025	56475	12140
100135026	2796	12980
100135027	2719	5629
100135028	8608	8809
100135028	8630	8809
100135071	388335	11671
100135072	285193	12301
100135073	90141	11849
100135074	5800	911
