#XT_prot	XT_gene	HS_prot	HS_gene	OrthoID
XP_012810659.2	105946032	NA	NA	ORTHOMCL1
XP_031749565.1	105946205	NA	NA	ORTHOMCL1
XP_012808159.2	100491979	NA	NA	ORTHOMCL1
XP_031748893.1	116407559	NA	NA	ORTHOMCL1
XP_031750857.1	116408242	NA	NA	ORTHOMCL1
XP_012822132.1	100494780	NA	NA	ORTHOMCL1
XP_004919733.1	101732105	NA	NA	ORTHOMCL1
XP_004915670.2	101734678	NA	NA	ORTHOMCL1
XP_031753305.1	116408941	NA	NA	ORTHOMCL1
NP_001120093.1	100145105	NA	NA	ORTHOMCL1
XP_031750993.1	116408361	NA	NA	ORTHOMCL1
XP_012809394.2	100491243	NA	NA	ORTHOMCL1
XP_031750849.1	116408234	NA	NA	ORTHOMCL1
XP_004915680.1	100487181	NA	NA	ORTHOMCL1
NP_001353671.1	113465273	NA	NA	ORTHOMCL1
XP_031750881.1	116408245	NA	NA	ORTHOMCL1
XP_002942762.2	100490741	NA	NA	ORTHOMCL1
XP_031750375.1	101732705	NA	NA	ORTHOMCL1
XP_017945523.2	100493962	NA	NA	ORTHOMCL1
XP_002940892.2	100498172	NA	NA	ORTHOMCL1
XP_012820553.2	105947556	NA	NA	ORTHOMCL1
XP_002941376.3	100494464	NA	NA	ORTHOMCL1
XP_031750991.1	116408358	NA	NA	ORTHOMCL1
XP_031754251.1	105945814	NA	NA	ORTHOMCL1
XP_031750843.1	116408232	NA	NA	ORTHOMCL1
XP_031750483.1	100491920	NA	NA	ORTHOMCL1
XP_031750851.1	116408236	NA	NA	ORTHOMCL1
XP_002943789.2	100487332	NA	NA	ORTHOMCL1
XP_031750883.1	116408247	NA	NA	ORTHOMCL1
XP_031750438.1	100492142	NA	NA	ORTHOMCL1
XP_004920172.2	101730305	NA	NA	ORTHOMCL1
XP_031750838.1	100496360	NA	NA	ORTHOMCL1
XP_031760118.1	100494585	NA	NA	ORTHOMCL1
XP_002940233.3	100489864	NA	NA	ORTHOMCL1
XP_031750998.1	116408365	NA	NA	ORTHOMCL1
XP_031748886.1	101730950	NA	NA	ORTHOMCL1
XP_002941375.5	100494300	NA	NA	ORTHOMCL1
XP_031760126.1	100497860	NA	NA	ORTHOMCL1
XP_031748894.1	105947074	NA	NA	ORTHOMCL1
XP_031749162.1	116407621	NA	NA	ORTHOMCL1
XP_004915776.1	101732446	NA	NA	ORTHOMCL1
XP_031750842.1	100136946	NA	NA	ORTHOMCL1
XP_031753298.1	100490051	NA	NA	ORTHOMCL1
XP_031750994.1	116408362	NA	NA	ORTHOMCL1
XP_031748882.1	116407558	NA	NA	ORTHOMCL1
XP_031750850.1	116408235	NA	NA	ORTHOMCL1
XP_031749186.1	105947078	NA	NA	ORTHOMCL1
XP_004915681.1	101730417	NA	NA	ORTHOMCL1
XP_031750856.1	116408241	NA	NA	ORTHOMCL1
XP_017945524.2	101734683	NA	NA	ORTHOMCL1
XP_004919729.2	101731211	NA	NA	ORTHOMCL1
XP_031760120.1	108644458	NA	NA	ORTHOMCL1
XP_002940894.2	108644458	NA	NA	ORTHOMCL1
XP_031750992.1	116408360	NA	NA	ORTHOMCL1
XP_031748880.1	116407558	NA	NA	ORTHOMCL1
XP_031750848.1	100493150	NA	NA	ORTHOMCL1
XP_031749164.1	101734612	NA	NA	ORTHOMCL1
XP_031750876.1	116408243	NA	NA	ORTHOMCL1
XP_031748892.1	100498391	NA	NA	ORTHOMCL1
XP_031750836.1	116408230	NA	NA	ORTHOMCL1
XP_031750484.1	116408003	NA	NA	ORTHOMCL1
XP_031750996.1	100490328	NA	NA	ORTHOMCL1
XP_031750852.1	116408237	NA	NA	ORTHOMCL1
XP_002934833.2	100493163	NA	NA	ORTHOMCL2
XP_002934021.1	100490813	NA	NA	ORTHOMCL2
XP_002937168.1	100489684	NA	NA	ORTHOMCL2
XP_031746349.1	108644466	NA	NA	ORTHOMCL2
XP_002939832.2	100490324	NA	NA	ORTHOMCL2
XP_004911016.1	101733492	NA	NA	ORTHOMCL2
NP_001005096.1	448674	NA	NA	ORTHOMCL2
XP_002937158.1	100487618	NA	NA	ORTHOMCL2
XP_002945391.2	100489400	NA	NA	ORTHOMCL2
XP_002934827.2	100492276	NA	NA	ORTHOMCL2
XP_002934836.2	100493646	NA	NA	ORTHOMCL2
XP_002939822.1	100488847	NA	NA	ORTHOMCL2
XP_002937156.1	100487306	NA	NA	ORTHOMCL2
XP_004910892.1	101731459	NA	NA	ORTHOMCL2
XP_031761561.1	116412118	NA	NA	ORTHOMCL2
XP_002934824.2	100491777	NA	NA	ORTHOMCL2
XP_012809367.1	100491124	NA	NA	ORTHOMCL2
XP_031761361.1	101734715	NA	NA	ORTHOMCL2
XP_002939838.1	100491295	NA	NA	ORTHOMCL2
XP_004911024.1	101734350	NA	NA	ORTHOMCL2
NP_001120052.1	100145037	NA	NA	ORTHOMCL2
XP_002934019.1	100490478	NA	NA	ORTHOMCL2
XP_002934830.2	100492436	NA	NA	ORTHOMCL2
XP_002934835.1	100493486	NA	NA	ORTHOMCL2
NP_001072781.1	780241	NA	NA	ORTHOMCL2
XP_002934022.1	100490987	NA	NA	ORTHOMCL2
XP_017952766.1	100489057	NA	NA	ORTHOMCL2
XP_002934847.2	100495583	NA	NA	ORTHOMCL2
XP_031761479.1	100490955	NA	NA	ORTHOMCL2
XP_002934221.1	100496681	NA	NA	ORTHOMCL2
XP_002937159.1	100487789	NA	NA	ORTHOMCL2
XP_002934018.1	108644466	NA	NA	ORTHOMCL2
XP_002934828.2	100492436	NA	NA	ORTHOMCL2
XP_002934837.1	100493812	NA	NA	ORTHOMCL2
XP_004910883.1	108644466	NA	NA	ORTHOMCL2
XP_012809355.1	100491628	NA	NA	ORTHOMCL2
XP_031760943.1	116412008	NA	NA	ORTHOMCL2
XP_031761359.1	101734715	NA	NA	ORTHOMCL2
XP_002939835.1	100490670	NA	NA	ORTHOMCL2
XP_002934825.2	100491946	NA	NA	ORTHOMCL2
XP_004911021.2	100496598	NA	NA	ORTHOMCL2
XP_002934020.1	100490647	NA	NA	ORTHOMCL2
XP_002934832.1	100492887	NA	NA	ORTHOMCL2
XP_002939826.1	100489433	NA	NA	ORTHOMCL2
XP_012809457.2	100490955	NA	NA	ORTHOMCL2
XP_004910897.1	100492272	NA	NA	ORTHOMCL2
XP_002939843.2	100491967	NA	NA	ORTHOMCL2
XP_031761555.1	116406474	NA	NA	ORTHOMCL2
XP_031761414.1	116406504	NA	NA	ORTHOMCL2
XP_031761558.1	116412116	NA	NA	ORTHOMCL2
XP_002939833.1	100490500	NA	NA	ORTHOMCL2
XP_004911020.2	101733714	NA	NA	ORTHOMCL2
XP_031761354.1	101734715	NA	NA	ORTHOMCL2
XP_002939823.2	100490670	NA	NA	ORTHOMCL2
XP_012809441.1	100490955	NA	NA	ORTHOMCL2
XP_012809580.2	105945603	NA	NA	ORTHOMCL2
XP_004910894.1	101731560	NA	NA	ORTHOMCL2
XP_002939839.2	100491628	NA	NA	ORTHOMCL2
XP_031749714.1	100489523	NA	NA	ORTHOMCL2
XP_004911025.1	100488212	NA	NA	ORTHOMCL2
XP_017952555.1	108648771	NA	NA	ORTHOMCL2
XP_031761320.1	100490670	NA	NA	ORTHOMCL2
XP_031760936.1	100489762	NA	NA	ORTHOMCL2
XP_002939820.1	100488574	NA	NA	ORTHOMCL2
XP_031761464.1	101730653	NA	NA	ORTHOMCL2
XP_002944365.1	100491628	NA	NA	ORTHOMCL2
XP_002945197.2	100490981	NA	NA	ORTHOMCL2
XP_004910888.1	101731166	NA	NA	ORTHOMCL2
XP_002939837.2	116406455	NA	NA	ORTHOMCL2
XP_031761488.1	100490955	NA	NA	ORTHOMCL2
XP_004911023.1	100490008	NA	NA	ORTHOMCL2
XP_031761536.1	116412112	NA	NA	ORTHOMCL2
XP_031761568.1	116412119	NA	NA	ORTHOMCL2
XP_031761452.1	100492436	NA	NA	ORTHOMCL2
XP_002939827.2	100489597	NA	NA	ORTHOMCL2
XP_004911009.2	105945147	NA	NA	ORTHOMCL2
XP_031761468.1	116412095	NA	NA	ORTHOMCL2
XP_004910899.1	101731848	NA	NA	ORTHOMCL2
XP_031761540.1	116412113	NA	NA	ORTHOMCL2
XP_012821459.1	100135711	Q13557	817	ORTHOMCL3
XP_012821459.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821459.1	100135711	Q13554	816	ORTHOMCL3
XP_012821459.1	100135711	Q13555	818	ORTHOMCL3
XP_012814770.1	780379	Q13557	817	ORTHOMCL3
XP_012814770.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814770.1	780379	Q13554	816	ORTHOMCL3
XP_012814770.1	780379	Q13555	818	ORTHOMCL3
XP_031746309.1	100135023	Q13557	817	ORTHOMCL3
XP_031746309.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746309.1	100135023	Q13554	816	ORTHOMCL3
XP_031746309.1	100135023	Q13555	818	ORTHOMCL3
XP_031746437.1	100135023	Q13557	817	ORTHOMCL3
XP_031746437.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746437.1	100135023	Q13554	816	ORTHOMCL3
XP_031746437.1	100135023	Q13555	818	ORTHOMCL3
XP_012821443.1	100135711	Q13557	817	ORTHOMCL3
XP_012821443.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821443.1	100135711	Q13554	816	ORTHOMCL3
XP_012821443.1	100135711	Q13555	818	ORTHOMCL3
NP_001107722.1	100135711	Q13557	817	ORTHOMCL3
NP_001107722.1	100135711	Q9UQM7	815	ORTHOMCL3
NP_001107722.1	100135711	Q13554	816	ORTHOMCL3
NP_001107722.1	100135711	Q13555	818	ORTHOMCL3
XP_012821467.1	100135711	Q13557	817	ORTHOMCL3
XP_012821467.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821467.1	100135711	Q13554	816	ORTHOMCL3
XP_012821467.1	100135711	Q13555	818	ORTHOMCL3
XP_012821451.1	100135711	Q13557	817	ORTHOMCL3
XP_012821451.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821451.1	100135711	Q13554	816	ORTHOMCL3
XP_012821451.1	100135711	Q13555	818	ORTHOMCL3
XP_012821463.1	100135711	Q13557	817	ORTHOMCL3
XP_012821463.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821463.1	100135711	Q13554	816	ORTHOMCL3
XP_012821463.1	100135711	Q13555	818	ORTHOMCL3
XP_012814774.1	780379	Q13557	817	ORTHOMCL3
XP_012814774.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814774.1	780379	Q13554	816	ORTHOMCL3
XP_012814774.1	780379	Q13555	818	ORTHOMCL3
XP_012821447.1	100135711	Q13557	817	ORTHOMCL3
XP_012821447.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821447.1	100135711	Q13554	816	ORTHOMCL3
XP_012821447.1	100135711	Q13555	818	ORTHOMCL3
XP_017952474.2	100135023	Q13557	817	ORTHOMCL3
XP_017952474.2	100135023	Q9UQM7	815	ORTHOMCL3
XP_017952474.2	100135023	Q13554	816	ORTHOMCL3
XP_017952474.2	100135023	Q13555	818	ORTHOMCL3
XP_012814757.1	780379	Q13557	817	ORTHOMCL3
XP_012814757.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814757.1	780379	Q13554	816	ORTHOMCL3
XP_012814757.1	780379	Q13555	818	ORTHOMCL3
XP_031760657.1	100135711	Q13557	817	ORTHOMCL3
XP_031760657.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_031760657.1	100135711	Q13554	816	ORTHOMCL3
XP_031760657.1	100135711	Q13555	818	ORTHOMCL3
XP_012821455.1	100135711	Q13557	817	ORTHOMCL3
XP_012821455.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821455.1	100135711	Q13554	816	ORTHOMCL3
XP_012821455.1	100135711	Q13555	818	ORTHOMCL3
XP_012814765.1	780379	Q13557	817	ORTHOMCL3
XP_012814765.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814765.1	780379	Q13554	816	ORTHOMCL3
XP_012814765.1	780379	Q13555	818	ORTHOMCL3
XP_012813848.1	100101771	Q13557	817	ORTHOMCL3
XP_012813848.1	100101771	Q9UQM7	815	ORTHOMCL3
XP_012813848.1	100101771	Q13554	816	ORTHOMCL3
XP_012813848.1	100101771	Q13555	818	ORTHOMCL3
XP_012821461.1	100135711	Q13557	817	ORTHOMCL3
XP_012821461.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821461.1	100135711	Q13554	816	ORTHOMCL3
XP_012821461.1	100135711	Q13555	818	ORTHOMCL3
XP_017952508.2	100135023	Q13557	817	ORTHOMCL3
XP_017952508.2	100135023	Q9UQM7	815	ORTHOMCL3
XP_017952508.2	100135023	Q13554	816	ORTHOMCL3
XP_017952508.2	100135023	Q13555	818	ORTHOMCL3
XP_012814772.1	780379	Q13557	817	ORTHOMCL3
XP_012814772.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814772.1	780379	Q13554	816	ORTHOMCL3
XP_012814772.1	780379	Q13555	818	ORTHOMCL3
NP_001072917.1	780379	Q13557	817	ORTHOMCL3
NP_001072917.1	780379	Q9UQM7	815	ORTHOMCL3
NP_001072917.1	780379	Q13554	816	ORTHOMCL3
NP_001072917.1	780379	Q13555	818	ORTHOMCL3
NP_001093737.1	100101771	Q13557	817	ORTHOMCL3
NP_001093737.1	100101771	Q9UQM7	815	ORTHOMCL3
NP_001093737.1	100101771	Q13554	816	ORTHOMCL3
NP_001093737.1	100101771	Q13555	818	ORTHOMCL3
XP_012821445.1	100135711	Q13557	817	ORTHOMCL3
XP_012821445.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821445.1	100135711	Q13554	816	ORTHOMCL3
XP_012821445.1	100135711	Q13555	818	ORTHOMCL3
NP_001107164.1	100135023	Q13557	817	ORTHOMCL3
NP_001107164.1	100135023	Q9UQM7	815	ORTHOMCL3
NP_001107164.1	100135023	Q13554	816	ORTHOMCL3
NP_001107164.1	100135023	Q13555	818	ORTHOMCL3
XP_012821469.1	100135711	Q13557	817	ORTHOMCL3
XP_012821469.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821469.1	100135711	Q13554	816	ORTHOMCL3
XP_012821469.1	100135711	Q13555	818	ORTHOMCL3
XP_031746239.1	100135023	Q13557	817	ORTHOMCL3
XP_031746239.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746239.1	100135023	Q13554	816	ORTHOMCL3
XP_031746239.1	100135023	Q13555	818	ORTHOMCL3
XP_012821453.1	100135711	Q13557	817	ORTHOMCL3
XP_012821453.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821453.1	100135711	Q13554	816	ORTHOMCL3
XP_012821453.1	100135711	Q13555	818	ORTHOMCL3
XP_012814763.1	780379	Q13557	817	ORTHOMCL3
XP_012814763.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814763.1	780379	Q13554	816	ORTHOMCL3
XP_012814763.1	780379	Q13555	818	ORTHOMCL3
XP_031753387.1	100101771	Q13557	817	ORTHOMCL3
XP_031753387.1	100101771	Q9UQM7	815	ORTHOMCL3
XP_031753387.1	100101771	Q13554	816	ORTHOMCL3
XP_031753387.1	100101771	Q13555	818	ORTHOMCL3
XP_012821465.1	100135711	Q13557	817	ORTHOMCL3
XP_012821465.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821465.1	100135711	Q13554	816	ORTHOMCL3
XP_012821465.1	100135711	Q13555	818	ORTHOMCL3
XP_012814776.1	780379	Q13557	817	ORTHOMCL3
XP_012814776.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814776.1	780379	Q13554	816	ORTHOMCL3
XP_012814776.1	780379	Q13555	818	ORTHOMCL3
XP_012821449.1	100135711	Q13557	817	ORTHOMCL3
XP_012821449.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821449.1	100135711	Q13554	816	ORTHOMCL3
XP_012821449.1	100135711	Q13555	818	ORTHOMCL3
XP_012814759.1	780379	Q13557	817	ORTHOMCL3
XP_012814759.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814759.1	780379	Q13554	816	ORTHOMCL3
XP_012814759.1	780379	Q13555	818	ORTHOMCL3
XP_012821441.1	100135711	Q13557	817	ORTHOMCL3
XP_012821441.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821441.1	100135711	Q13554	816	ORTHOMCL3
XP_012821441.1	100135711	Q13555	818	ORTHOMCL3
XP_031746387.1	100135023	Q13557	817	ORTHOMCL3
XP_031746387.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746387.1	100135023	Q13554	816	ORTHOMCL3
XP_031746387.1	100135023	Q13555	818	ORTHOMCL3
XP_012821457.1	100135711	Q13557	817	ORTHOMCL3
XP_012821457.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821457.1	100135711	Q13554	816	ORTHOMCL3
XP_012821457.1	100135711	Q13555	818	ORTHOMCL3
XP_017952499.2	100135023	Q13557	817	ORTHOMCL3
XP_017952499.2	100135023	Q9UQM7	815	ORTHOMCL3
XP_017952499.2	100135023	Q13554	816	ORTHOMCL3
XP_017952499.2	100135023	Q13555	818	ORTHOMCL3
XP_012814767.1	780379	Q13557	817	ORTHOMCL3
XP_012814767.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814767.1	780379	Q13554	816	ORTHOMCL3
XP_012814767.1	780379	Q13555	818	ORTHOMCL3
XP_012813854.1	100101771	Q13557	817	ORTHOMCL3
XP_012813854.1	100101771	Q9UQM7	815	ORTHOMCL3
XP_012813854.1	100101771	Q13554	816	ORTHOMCL3
XP_012813854.1	100101771	Q13555	818	ORTHOMCL3
XP_031746278.1	100135023	Q13557	817	ORTHOMCL3
XP_031746278.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746278.1	100135023	Q13554	816	ORTHOMCL3
XP_031746278.1	100135023	Q13555	818	ORTHOMCL3
XP_012821460.1	100135711	Q13557	817	ORTHOMCL3
XP_012821460.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821460.1	100135711	Q13554	816	ORTHOMCL3
XP_012821460.1	100135711	Q13555	818	ORTHOMCL3
XP_012814771.1	780379	Q13557	817	ORTHOMCL3
XP_012814771.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814771.1	780379	Q13554	816	ORTHOMCL3
XP_012814771.1	780379	Q13555	818	ORTHOMCL3
XP_012821444.1	100135711	Q13557	817	ORTHOMCL3
XP_012821444.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821444.1	100135711	Q13554	816	ORTHOMCL3
XP_012821444.1	100135711	Q13555	818	ORTHOMCL3
XP_012821468.1	100135711	Q13557	817	ORTHOMCL3
XP_012821468.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821468.1	100135711	Q13554	816	ORTHOMCL3
XP_012821468.1	100135711	Q13555	818	ORTHOMCL3
XP_017952520.2	100135023	Q13557	817	ORTHOMCL3
XP_017952520.2	100135023	Q9UQM7	815	ORTHOMCL3
XP_017952520.2	100135023	Q13554	816	ORTHOMCL3
XP_017952520.2	100135023	Q13555	818	ORTHOMCL3
XP_012821452.1	100135711	Q13557	817	ORTHOMCL3
XP_012821452.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821452.1	100135711	Q13554	816	ORTHOMCL3
XP_012821452.1	100135711	Q13555	818	ORTHOMCL3
XP_012814762.1	780379	Q13557	817	ORTHOMCL3
XP_012814762.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814762.1	780379	Q13554	816	ORTHOMCL3
XP_012814762.1	780379	Q13555	818	ORTHOMCL3
XP_031746462.1	100135023	Q13557	817	ORTHOMCL3
XP_031746462.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746462.1	100135023	Q13554	816	ORTHOMCL3
XP_031746462.1	100135023	Q13555	818	ORTHOMCL3
XP_031746410.1	100135023	Q13557	817	ORTHOMCL3
XP_031746410.1	100135023	Q9UQM7	815	ORTHOMCL3
XP_031746410.1	100135023	Q13554	816	ORTHOMCL3
XP_031746410.1	100135023	Q13555	818	ORTHOMCL3
XP_012821464.1	100135711	Q13557	817	ORTHOMCL3
XP_012821464.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821464.1	100135711	Q13554	816	ORTHOMCL3
XP_012821464.1	100135711	Q13555	818	ORTHOMCL3
XP_012814775.1	780379	Q13557	817	ORTHOMCL3
XP_012814775.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814775.1	780379	Q13554	816	ORTHOMCL3
XP_012814775.1	780379	Q13555	818	ORTHOMCL3
XP_012821448.1	100135711	Q13557	817	ORTHOMCL3
XP_012821448.1	100135711	Q9UQM7	815	ORTHOMCL3
XP_012821448.1	100135711	Q13554	816	ORTHOMCL3
XP_012821448.1	100135711	Q13555	818	ORTHOMCL3
XP_012814758.1	780379	Q13557	817	ORTHOMCL3
XP_012814758.1	780379	Q9UQM7	815	ORTHOMCL3
XP_012814758.1	780379	Q13554	816	ORTHOMCL3
XP_012814758.1	780379	Q13555	818	ORTHOMCL3
XP_012821456.1	100135711	Q13557	817	ORTHOMCL3
