GENE_SYMBOL	GENE_NAME	MODEL_ID	ENTREZ_ID	XB_GENE_ID
atp5f1e	ATP synthase F1 subunit epsilon	XBXT10g010743	116408027	29076866
atp6v1fnb	sperm microtubule inner protein 1	XBXT10g012037	105946937	29076870
aunip	aurora kinase A and ninein interacting protein	XBXT10g006593	100490355	29076874
bad	BCL2 associated agonist of cell death	XBXT10g016636	100487418	29076878
bak1	BCL2 antagonist/killer 1	XBXT10g014019	108645783	962898
batf2	basic leucine zipper ATF-like transcription factor 2	XBXT10g009552	105947272	29076882
bbc3	BCL2 binding component 3	XBXT10g022928	116408318	29076886
bean1	brain expressed associated with NEDD4 1	XBXT10g014688	100497887	29076890
bhlhe23	basic helix-loop-helix family member e23	XBXT10g017576	116408060	1018550
brd3os	BRD3 opposite strand	XBXT10g015510	105948229	29076894
btbd18	BTB domain containing 18	XBXT10g008288	100498010	29076898
c10h17orf58	chromosome 10 C17orf58 homolog		116407939	29076902
c10h20orf96	chromosome 10 C20orf96 homolog	XBXT10g011422	100486979	29076906
c1qa	complement C1q A chain	XBXT10g017061	116408191	6039250
c1qc	complement C1q C chain	XBXT10g003742	116408192	17346933
c2h17orf50	chromosome 2 C17orf50 homolog	XBXT10g013137	108645138	29076911
c2h17orf97	ligand of ATE1	XBXT10g006486	100498469	29076915
c2h1orf232	chromosome 2 C1orf232 homolog	XBXT10g002473	100497185	29076919
c2h3orf85	chromosome 2 C3orf85 homolog	XBXT10g002731	116408841	29076923
c3h12orf75	chromosome 3 C12orf75 homolog	XBXT10g011415	100493883	29076927
c3h15orf65	piercer of microtubule wall 2	XBXT10g013465	105946776	29076931
c4h11orf16	chromosome 4 C11orf16 homolog	XBXT10g000989	116410235	29076935
c4h11orf91	chromosome 4 C11orf91 homolog	XBXT10g007034	116410566	29076939
c4h16orf46	chromosome 4 C16orf46 homolog	XBXT10g016998	100487055	29076943
c4h1orf141	chromosome 4 C1orf141 homolog	XBXT10g007599	100498273	29076947
c4h1orf53	chromosome 4 C1orf53 homolog	XBXT10g000439	100127772	29076951
c4h1orf87	chromosome 4 C1orf87 homolog	XBXT10g020251	116410500	980223
c4h3orf18	chromosome 4 C3orf18 homolog	XBXT10g005076	101732317	29076955
c4h3orf84	chromosome 4 C3orf84 homolog	XBXT10g018389	100485425	29076959
c5h1orf115	chromosome 5 C1orf115 homolog	XBXT10g019267	101733122	29076963
c6h9orf152	chromosome 6 C9orf152 homolog	XBXT10g016275	100486516	29076967
c7h10orf143	chromosome 7 C10orf143 homolog	XBXT10g027608	100495010	29076971
c7h10orf95	chromosome 7 C10orf95 homolog	XBXT10g010481	105948016	29076975
c7h11orf88	HOATZ cilia and flagella associated protein	XBXT10g001299	101734554	29076979
c7hxorf65	chromosome 7 CXorf65 homolog	XBXT10g013638	116412425	29076983
c8h14orf132	chromosome 8 C14orf132 homolog	XBXT10g018945	100487253	29076987
c8h6orf47	chromosome 8 C6orf47 homolog	XBXT10g014760	101732072	29076991
c8h9orf116	piercer of microtubule wall 1	XBXT10g006327	101733379	29076995
c8h9orf43	chromosome 8 C9orf43 homolog	XBXT10g017166	100496712	29076999
c9h16orf96	chromosome 9 C16orf96 homolog	XBXT10g010047	101734550	29077003
c9h7orf50	chromosome 9 C7orf50 homolog	XBXT10g010369	100493126	6462092
cacfd1	calcium channel flower domain containing 1	XBXT10g013714	116406751	6257568
cacna1b	calcium voltage-gated channel subunit alpha1 B	XBXT10g018529	100489231	6031691
cacng5	calcium voltage-gated channel auxiliary subunit gamma 5	XBXT10g012385	116408028	17346950
camk2n1	calcium/calmodulin dependent protein kinase II inhibitor 1	XBXT10g004605	105945790	29077007
camp	cathelicidin antimicrobial peptide	XBXT10g019623	101731161	29077011
card11	caspase recruitment domain family member 11	XBXT10g005861	105948360	6076960
ccdc120	coiled-coil domain containing 120	XBXT10g015227	116406727	6460880
ccdc142	coiled-coil domain containing 142	XBXT10g002744	779921	29077015
ccdc180	coiled-coil domain containing 180	XBXT10g006526	100492567	29077019
ccdc185	coiled-coil domain containing 185	XBXT10g017243	100498007	29077023
ccdc187	coiled-coil domain containing 187	XBXT10g022096	100489157	29077027
ccdc197	coiled-coil domain containing 197	XBXT10g014272	116406433	29077031
ccdc198	coiled-coil domain containing 198	XBXT10g016201	101734192	29077035
ccdc27	coiled-coil domain containing 27	XBXT10g005684	100489422	29077039
ccdc38	coiled-coil domain containing 38	XBXT10g007559	116409735	1009086
ccdc60	coiled-coil domain containing 60	XBXT10g002146	101731791	29077043
ccdc74b	coiled-coil domain containing 74B	XBXT10g009262	101734403	29077047
ccdc83	coiled-coil domain containing 83	XBXT10g005282	100490826	29077051
ccdc88b	coiled-coil domain containing 88B	XBXT10g004163	100496075	29077055
ccdc9b	coiled-coil domain containing 9B	XBXT10g012538	100497448	29077059
ccer2	coiled-coil glutamate rich protein 2	XBXT10g012349	100486438	29077063
ccl25	C-C motif chemokine ligand 25	XBXT10g008876	116412011	6509937
ccl27	C-C motif chemokine ligand 27	XBXT10g019879	101734756	29077067
ccl28	C-C motif chemokine ligand 28	XBXT10g001374	116408225	29077071
cd58	CD58 molecule	XBXT10g010812	116408726	29077075
cd68	CD68 molecule	XBXT10g019513	100496720	29077079
cdc26	cell division cycle 26	XBXT10g015981	116408221	979482
cdkn1b	cyclin dependent kinase inhibitor 1B	XBXT10g014663	101732126	17346965
cdrt1	F-box and WD repeat domain containing 10B	XBXT10g003344	100497591	29077083
cenpp	centromere protein P	XBXT10g000394	116410454	6460636
cenpw	centromere protein W	XBXT10g016979	101730689	29077087
cenpx	centromere protein X	XBXT10g018019	100490964	29077091
cfap221	cilia and flagella associated protein 221	XBXT10g017197	101730578	6465535
chdh	choline dehydrogenase	XBXT10g011099	116410481	959770
chrna10	cholinergic receptor nicotinic alpha 10 subunit	XBXT10g002770	100487976	29077095
chrnb1	cholinergic receptor, nicotinic beta 1	XBXT10g000216	101733524	6449530
clcn1	chloride channel, voltage-sensitive 1	XBXT10g020319	101731973	6085854
cmc4	C-X9-C motif containing 4	XBXT10g011984	101731920	29077099
col20a1	collagen, type XX, alpha 1	XBXT10g008231	101731976	6047460
colca2	POU class 2 homeobox associating factor 3	XBXT10g007935	101734888	29077103
coprs	coordinator of PRMT5 and differentiation stimulator	XBXT10g003370	100490247	29077107
cpt1a	carnitine palmitoyltransferase 1A	XBXT10g018941	100490391	29077111
crebzf	CREB/ATF bZIP transcription factor	XBXT10g004302	101730758	989710
crisp2-like	cysteine-rich secretory protein 2-like	XBXT10g017180	100495843	29077115
crlf2	cytokine receptor like factor 2	XBXT10g028364	116408871	29077119
crocc2	ciliary rootlet coiled-coil, rootletin family member 2	XBXT10g002970	100498193	29077123
ctss.2	cathepsin S gene 2	XBXT10g015242	496647	5914296
ctxnd1	cortexin domain containing 1	XBXT10g020133	105948305	29077127
cxcl13	C-X-C motif chemokine ligand 13	XBXT10g022256	116408310	483203
cyp1c1	cytochrome P450 family 1 subfamily C polypeptide 1	XBXT10g015204	100496802	29077131
cyp2c37	cytochrome P450, family 2. subfamily c, polypeptide 37	XBXT10g017391	548377	29077135
cysrt1	cysteine rich tail 1	XBXT10g012716	116406560	29077139
daam2	dishevelled associated activator of morphogenesis 2	XBXT10g005013	101731433	6049503
ddias	DNA damage induced apoptosis suppressor	XBXT10g000493	100498385	29077143
ddn	dendrin	XBXT10g007785	101734041	29077147
dennd11	DENN domain containing 11	XBXT10g006176	116409677	17346945
dnhd1	dynein heavy chain domain 1	XBXT10g003542	100485299	6462491
ecm1	extracellular matrix protein 1	XBXT10g001405	100495718	29077151
ecm2	extracellular matrix protein 2	XBXT10g002804	105947083	29077155
eef1akmt4	EEF1A lysine methyltransferase 4	XBXT10g016004	100488253	29077159
efcab12	EF-hand calcium binding domain 12	XBXT10g008096	100494548	29077163
emcn	endomucin	XBXT10g012230	101731391	29077167
erich2	glutamate rich 2	XBXT10g009951	101730979	29077171
erich6b	glutamate rich 6B	XBXT10g012651	101733697	29077175
ern1	endoplasmic reticulum to nucleus signaling 1	XBXT10g001378	116407936	6049123
espnl	espin like	XBXT10g010496	101734405	29077179
esx1	ESX homeobox 1	XBXT10g016393	116406733	29077183
etnk1	ethanolamine kinase 1	XBXT10g002692	116409664	940606
evi2a	ecotropic viral integration site 2A	XBXT10g000671	100493059	29077187
evi2b	ecotropic viral integration site 2B	XBXT10g009760	116408861	29077191
exoc3l4	exocyst complex component 3 like 4	XBXT10g007983	101734866	29077195
fam110a	family with sequence similarity 110 member A	XBXT10g002609	116407983	1014258
fam131c	family with sequence similarity 131 member C	XBXT10g014568	116412320	29077199
fam184b	family with sequence similarity 184 member B	XBXT10g017279	100488800	29077203
fam47e	family with sequence similarity 47 member E	XBXT10g012106	100127812	29077207
fbxl6	F-box and leucine rich repeat protein 6	XBXT10g010609	116411570	29077211
fbxo2	F-box protein 2	XBXT10g001906	101733128	994589
fcer1g	Fc fragment of IgE receptor Ig	XBXT10g011036	101733334	29077215
fcrlb	Fc receptor like B	XBXT10g018738	100495438	29077219
flad1	flavin adenine dinucleotide synthetase 1	XBXT10g018612	116406725	5915965
fndc11	fibronectin type III domain containing 11	XBXT10g009048	116408007	29077223
fndc9	fibronectin type III domain containing 9	XBXT10g016020	101734809	29077227
foxo6	forkhead box O6	XBXT10g017470	100490156	482993
frmpd2	FERM and PDZ domain containing 2	XBXT10g013716	100491969	29077231
fshr	follicle-stimulating hormone receptor-like		108647650	986647
ftsj1	FtsJ RNA 2"-O-methyltransferase 1	XBXT10g005364	116406629	5798521
fxyd3	FXYD domain-containing ion transport regulator 3	XBXT10g016668	733884	29077235
gdpd3	glycerophosphodiester phosphodiesterase domain containing 3	XBXT10g006298	100125107	29077239
gfral	GDNF family receptor alpha like	XBXT10g003208	116410978	6002264
gfy	golgi associated olfactory signaling regulator	XBXT10g007218	101731919	29077243
ggt6	gamma-glutamyltransferase 6	XBXT10g012334	100496507	29077247
gnmt	glycine N-methyltransferase	XBXT10g001854	116410885	6465714
gnrhr2/nmi	type 2/nmI gonadotropin-releasing hormone receptor	XBXT10g013773	100135416	29077251
gp5	glycoprotein V platelet	XBXT10g019105	116411101	17346925
gpld1	glycosylphosphatidylinositol specific phospholipase D1	XBXT10g011135	116411679	1013013
gpr148	G protein-coupled receptor 148	XBXT10g025737	116410953	29077255
gpr82	G protein-coupled receptor 82	XBXT10g002461	101735236	29077259
gprin1	G protein regulated inducer of neurite outgrowth 1	XBXT10g003809	116409728	1004784
grifin	galectin-related inter-fiber protein	XBXT10g015934	101730461	29077263
gsg1l	GSG1 like	XBXT10g023409	100485075	5832503
gsg1l2	GSG1 like 2	XBXT10g012719	100495852	29077267
haspin	histone H3 associated protein kinase	XBXT10g011026	100496088	29077271
hba-l3	alpha globin larval-3	XBXT10g006623	100335042	29077275
hba-l4	alpha globin larval-4	XBXT10g017031	100335043	29077279
hdac11	histone deacetylase 11	XBXT10g004041	116410488	29077283
heg1	heart development protein with EGF like domains 1	XBXT10g019881	116407838	997776
hemgn	hemogen	XBXT10g001576	100486734	29077287
hoxa9	homeobox A9	XBXT10g000144	116411596	481973
hoxd4	homeobox D4	XBXT10g002377	116407511	478962
iapp	islet amyloid polypeptide	XBXT10g010177	116409452	29077291
icoslg	inducible T cell costimulator ligand	XBXT10g011751	101732704	25874671
iho1	interactor of HORMAD1 1		116410473	29077295
il12rb1	interleukin 12 receptor subunit beta 1	XBXT10g013844	100496683	29077299
il15ra	interleukin 15 receptor subunit alpha	XBXT10g005867	101732951	29077303
il17ra	interleukin 17 receptor A	XBXT10g008069	101733412	6459863
il18bp	interleukin 18 binding protein	XBXT10g015447	101732536	29077307
il20	interleukin 20	XBXT10g007735	105946308	29077311
il20ra	interleukin 20 receptor subunit alpha	XBXT10g005440	100496542	29077315
il20rb	interleukin 20 receptor subunit beta	XBXT10g000112	101734011	29077319
il27ra	interleukin 27 receptor subunit alpha	XBXT10g014907	101731209	29077323
il2rb	interleukin 2 receptor subunit beta	XBXT10g015737	101731938	29077327
inafm2	InaF motif containing 2	XBXT10g005520	105948275	29077331
inpp5e	inositol polyphosphate-5-phosphatase E	XBXT10g004232	100486470	29077335
insyn2b	inhibitory synaptic factor family member 2B	XBXT10g000591	101730523	29077339
ints9	integrator complex subunit 9	XBXT10g003744	549355	6458414
isx	intestine specific homeobox	XBXT10g009675	116409679	6035815
izumo3	IZUMO family member 3	XBXT10g014463	105948501	29077343
jhy	junctional cadherin complex regulator	XBXT10g007751	108648102	29077347
jtb	jumping translocation breakpoint	XBXT10g010331	116406644	17346935
kcnj6	potassium inwardly rectifying channel subfamily J member 6	XBXT10g005127	116408751	959134
kcnk3	potassium channel, two pore domain subfamily K, member 3	XBXT10g008916	116410805	956081
kcns2	potassium voltage-gated channel modifier subfamily S member 2	XBXT10g011417	101732753	29077351
KIAA0040	KIAA0040 ortholog		100491699	29077355
KIAA0408	KIAA0408 ortholog		100496334	29077359
KIAA1755	KIAA1755 ortholog		100495112	29077363
kiss1b	kisspeptin	XBXT10g003175	100316931	29077367
kissr1b	G protein-coupled receptor 54	XBXT10g016918	100329184	29077371
kissr2	G protein-coupled receptor 54	XBXT10g008309	100329185	29077375
lactbl1	lactamase beta like 1	XBXT10g004535	116410950	29077379
lat	linker for activation of T cells	XBXT10g006895	100495612	29077383
lime1	Lck interacting transmembrane adaptor 1	XBXT10g013528	100489775	29077387
lkaaear1	LKAAEAR motif containing 1	XBXT10g019033	116408018	29077391
lmln2	ciliated left-right organizer metallopeptidase	XBXT10g013361	101730897	29077395
lmntd1	lamin tail domain containing 1	XBXT10g015361	101730385	956656
lmntd2	lamin tail domain containing 2	XBXT10g000233	100496703	29077399
lmo3	LIM domain only 3	XBXT10g002761	116409661	18386059
LOC100036665	uncharacterized LOC100036665	XBXT10g003024	100036665	29077403
LOC100037901	hemoglobin subunit epsilon	XBXT10g009110	100037901	29077407
LOC100038041	fetuin-B	XBXT10g006183	100038041	29077411
LOC100038305	uncharacterized LOC100038305	XBXT10g009713	100038305	29077415
LOC100124775	uncharacterized LOC100124775	XBXT10g007396	100124775	29077419
LOC100124781	ficolin-1	XBXT10g003696	100124781	29077423
LOC100124852	uncharacterized LOC100124852	XBXT10g021887	100124852	29077427
LOC100125044	uncharacterized LOC100125044	XBXT10g006459	100125044	29077431
LOC100127565	uncharacterized LOC100127565	XBXT10g002474	100127565	29077435
LOC100127750	cytochrome c oxidase subunit 4 isoform 1, mitochondrial	XBXT10g019324	100127750	29077439
LOC100127800	putative nuclease HARBI1	XBXT10g022943	100127800	29077443
LOC100127856	matrix metalloproteinase-18	XBXT10g003590	100127856	29077447
LOC100127857	uncharacterized LOC100127857	XBXT10g011899	100127857	29077451
LOC100127860	uncharacterized LOC100127860	XBXT10g010732	100127860	29077455
LOC100135188	uncharacterized LOC100135188	XBXT10g020104	100135188	29077459
LOC100135405	uncharacterized LOC100135405	XBXT10g010193	100135405	29077463
LOC100144954	uncharacterized LOC100144954	XBXT10g011740	100144954	29077467
LOC100144974	uncharacterized LOC100144974	XBXT10g018198	100144974	29077471
LOC100145082	uncharacterized LOC100145082	XBXT10g011822	100145082	29077475
LOC100145115	uncharacterized LOC100145115	XBXT10g003992	100145115	29077479
LOC100145148	uncharacterized LOC100145148	XBXT10g005105	100145148	29077483
LOC100145162	E1A-binding protein p400	XBXT10g011678	100145162	29077487
LOC100145338	TRAF3 interacting protein 3	XBXT10g008642	100145338	29077491
LOC100145450	uncharacterized LOC100145450	XBXT10g019358	100145450	29077495
LOC100145473	uncharacterized LOC100145473	XBXT10g010542	100145473	29077499
LOC100145493	uncharacterized LOC100145493	XBXT10g003109	100145493	29077503
LOC100145764	tachylectin-2	XBXT10g002046	100145764	29077507
LOC100145779	bactericidal permeability-increasing protein	XBXT10g003633	100145779	29077511
LOC100145789	uncharacterized LOC100145789	XBXT10g003011	100145789	29077515
LOC100145817	uncharacterized LOC100145817	XBXT10g014763	100145817	29077519
LOC100170611	A.superbus venom factor 1	XBXT10g007252	100170611	29077523
LOC100170623	protein mono-ADP-ribosyltransferase PARP4	XBXT10g007003	100170623	29077527
LOC100216007	uncharacterized LOC100216007	XBXT10g014295	100216007	29077531
LOC100216241	uncharacterized LOC100216241	XBXT10g018907	100216241	29077535
LOC100216308	interleukin 22	XBXT10g018855	100216308	29077539
LOC100328980	NIMA related kinase 2	XBXT10g004033	100328980	29077543
LOC100329164	interferon lambda3	XBXT10g001355	100329164	29077547
LOC100337651	zinc finger protein	XBXT10g020709	100337651	29077551
LOC100484994	uncharacterized LOC100484994	XBXT10g014420	100484994	29077555
LOC100485004	E3 ubiquitin-protein ligase TRIM39	XBXT10g011312	100485004	29077559
LOC100485006	mucin-4	XBXT10g019797	100485006	29077563
LOC100485009	neuronal pentraxin-1	XBXT10g011195	100485009	29077567
LOC100485014	merlin	XBXT10g015155	100485014	29077571
LOC100485036	olfactory receptor 51E1	XBXT10g018815	100485036	29077575
LOC100485040	uncharacterized LOC100485040	XBXT10g002608	100485040	29077579
LOC100485044	uncharacterized LOC100485044	XBXT10g004187	100485044	29077583
LOC100485062	gastrula zinc finger protein XlCGF57.1-like	XBXT10g010927	100485062	29077587
LOC100485064	uncharacterized LOC100485064	XBXT10g016773	100485064	29077591
LOC100485069	extracellular calcium-sensing receptor	XBXT10g023707	100485069	29077595
LOC100485074	butyrophilin subfamily 3 member A2	XBXT10g000855	100485074	29077599
LOC100485078	olfactory receptor 5V1-like	XBXT10g013915	100485078	29077603
LOC100485079	intelectin-1	XBXT10g009948	100485079	29077607
LOC100485083	mucin-4-like	XBXT10g016581	100485083	29077611
LOC100485096	putative methyltransferase DDB_G0268948	XBXT10g023249	100485096	29077615
LOC100485112	olfactory receptor 10A7-like	XBXT10g010788	100485112	29077619
LOC100485113	uroplakin-3b	XBXT10g006330	100485113	29077623
LOC100485124	zinc finger protein 569	XBXT10g005527	100485124	29077627
LOC100485132	TRPM8 channel-associated factor homolog	XBXT10g015025	100485132	29077631
LOC100485135	succinate receptor 1	XBXT10g001810	100485135	29077635
LOC100485137	sprT-like domain-containing protein Spartan	XBXT10g007825	100485137	29077639
LOC100485140	trifunctional purine biosynthetic protein adenosine-3	XBXT10g000927	100485140	29077643
LOC100485144	protein mono-ADP-ribosyltransferase PARP14-like	XBXT10g004509	100485144	29077647
LOC100485160	protocadherin-20	XBXT10g012670	100485160	29077651
LOC100485172	carcinoembryonic antigen-related cell adhesion molecule 1	XBXT10g029493	100485172	29077655
LOC100485189	trypsin	XBXT10g006738	100485189	29077659
LOC100485192	cystine/glutamate transporter	XBXT10g011179	100485192	29077663
LOC100485197	mucin-2	XBXT10g018341	100485197	29077667
LOC100485199	transmembrane protein 272	XBXT10g018803	100485199	29077671
LOC100485203	vacuolar fusion protein MON1 homolog B	XBXT10g013421	100485203	29077675
LOC100485206	volume-regulated anion channel subunit LRRC8C	XBXT10g015390	100485206	29077679
LOC100485217	olfactory receptor 1-like	XBXT10g019268	100485217	29077683
LOC100485218	gastrula zinc finger protein XlCGF17.1-like	XBXT10g006992	100485218	29077687
LOC100485233	putative selection and upkeep of intraepithelial T-cells protein 1 homolog	XBXT10g000089	100485233	29077691
LOC100485239	histone H1B	XBXT10g009814	100485239	29077695
LOC100485245	succinate receptor 1	XBXT10g015630	100485245	29077699
LOC100485254	E3 ubiquitin-protein ligase RNF182	XBXT10g012085	100485254	29077703
LOC100485256	uncharacterized LOC100485256	XBXT10g021901	100485256	29077707
LOC100485259	NUAK family SNF1-like kinase 1	XBXT10g015481	100485259	29077711
LOC100485266	uroplakin-3b	XBXT10g019360	100485266	29077715
LOC100485271	histone H4	XBXT10g004961	100485271	29077719
LOC100485272	angiopoietin-2	XBXT10g017865	100485272	29077723
LOC100485279	putative protein ZNF720	XBXT10g010391	100485279	29077727
LOC100485303	fructose-1,6-bisphosphatase 1-like	XBXT10g017236	100485303	29077731
LOC100485312	ficolin-2	XBXT10g020127	100485312	29077735
LOC100485319	mucin-4	XBXT10g019966	100485319	29077739
LOC100485322	brain-specific angiogenesis inhibitor 1-associated protein 2	XBXT10g013101	100485322	29077743
LOC100485327	UNC93-like protein MFSD11	XBXT10g020757	100485327	29077747
LOC100485335	paired box protein Pax-6	XBXT10g008942	100485335	29077751
LOC100485340	oocyte zinc finger protein XlCOF7.1-like	XBXT10g022323	100485340	29077755
LOC100485343	mucin-5AC	XBXT10g008056	100485343	29077759
LOC100485347	trypsin	XBXT10g004837	100485347	29077763
LOC100485348	boophilin-G2	XBXT10g012492	100485348	29077767
LOC100485351	interferon-induced very large GTPase 1-like	XBXT10g000115	100485351	29077771
LOC100485355	low affinity immunoglobulin gamma Fc region receptor IV	XBXT10g008471	100485355	29077775
LOC100485356	mucin-2	XBXT10g021711	100485356	29077779
LOC100485358	toll-like receptor 2	XBXT10g015371	100485358	29077783
LOC100485372	olfactory receptor 1J4	XBXT10g004824	100485372	29077787
LOC100485381	ficolin-1-A-like	XBXT10g011536	100485381	29077791
LOC100485385	extracellular calcium-sensing receptor	XBXT10g028271	100485385	29077795
LOC100485394	adiponectin	XBXT10g011939	100485394	29077799
LOC100485404	uncharacterized LOC100485404	XBXT10g014179	100485404	29077803
LOC100485405	mucin-2	XBXT10g016234	100485405	29077807
LOC100485409	succinate receptor 1	XBXT10g008466	100485409	29077811
LOC100485429	E3 ubiquitin-protein ligase TRIM39	XBXT10g008602	100485429	29077815
LOC100485431	olfactory receptor 1019-like	XBXT10g028497	100485431	29077819
LOC100485453	uncharacterized LOC100485453	XBXT10g021817	100485453	29077823
LOC100485454	corticoliberin	XBXT10g004507	100485454	29077827
LOC100485478	ficolin-1	XBXT10g018071	100485478	29077831
LOC100485482	heat shock factor protein 5	XBXT10g018280	100485482	29077835
LOC100485499	olfactory receptor 4Q2	XBXT10g025353	100485499	29077839
LOC100485506	olfactory receptor 2G6	XBXT10g004231	100485506	29077843
LOC100485511	uncharacterized LOC100485511	XBXT10g021363	100485511	29077847
LOC100485515	proteasomal ATPase-associated factor 1	XBXT10g029018	100485515	29077851
LOC100485521	olfactory receptor 11L1-like	XBXT10g026903	100485521	29077855
LOC100485533	extracellular calcium-sensing receptor	XBXT10g029210	100485533	29077859
LOC100485534	probable beta-D-xylosidase 5	XBXT10g004885	100485534	29077863
LOC100485541	olfactory receptor 5V1-like	XBXT10g022343	100485541	29077867
LOC100485548	histone H2A type 1	XBXT10g001323	100485548	29077871
LOC100485551	protein spire homolog 1	XBXT10g002835	100485551	29077875
LOC100485552	uncharacterized LOC100485552	XBXT10g007594	100485552	29077879
LOC100485553	uncharacterized LOC100485553	XBXT10g012428	100485553	29077883
LOC100485573	olfactory receptor 5V1-like	XBXT10g012090	100485573	29077887
LOC100485626	uncharacterized LOC100485626	XBXT10g004099	100485626	29077891
LOC100485630	lysozyme g	XBXT10g010976	100485630	29077895
LOC100485636	C-X-C motif chemokine receptor 3	XBXT10g004717	100485636	29077899
LOC100485637	myosin-7	XBXT10g009982	100485637	29077903
LOC100485649	olfactory receptor 52D1	XBXT10g015568	100485649	29077907
LOC100485657	beta-1,4-galactosyltransferase galt-1	XBXT10g016840	100485657	29077911
LOC100485658	uncharacterized LOC100485658	XBXT10g026817	100485658	29077915
LOC100485665	uncharacterized LOC100485665	XBXT10g003351	100485665	29077919
LOC100485669	uncharacterized LOC100485669	XBXT10g018483	100485669	29077923
LOC100485670	uncharacterized LOC100485670	XBXT10g024683	100485670	29077927
LOC100485680	nicotinamide N-methyltransferase	XBXT10g028254	100485680	29077931
LOC100485681	UPF0329 protein ECU05_1680/ECU11_0050	XBXT10g023733	100485681	29077935
LOC100485683	extracellular calcium-sensing receptor-like	XBXT10g026982	100485683	29077939
LOC100485686	protein kinase C delta type	XBXT10g009337	100485686	29077943
LOC100485695	olfactory receptor 5V1-like	XBXT10g013895	100485695	29077947
LOC100485697	homeobox protein Nkx-2.1	XBXT10g014306	100485697	29077951
LOC100485704	zinc finger protein 585A-like	XBXT10g013980	100485704	29077955
LOC100485712	protein kinase C theta type	XBXT10g004711	100485712	29077959
LOC100485719	uncharacterized LOC100485719	XBXT10g019106	100485719	29077963
LOC100485723	5-hydroxytryptamine receptor 1B	XBXT10g017029	100485723	29077967
LOC100485726	olfactory receptor 6F1	XBXT10g026559	100485726	29077971
LOC100485739	serine/threonine-protein kinase N1	XBXT10g003013	100485739	29077975
LOC100485740	olfactory receptor 10A7-like	XBXT10g004350	100485740	29077979
LOC100485752	E3 ubiquitin/ISG15 ligase TRIM25	XBXT10g014087	100485752	29077983
LOC100485772	fibrinogen-like protein 1-like protein	XBXT10g014943	100485772	29077987
LOC100485774	cystatin-C	XBXT10g006836	100485774	29077991
LOC100485787	glycerol-3-phosphate acyltransferase 3	XBXT10g003025	100485787	29077995
LOC100485793	olfactory receptor 52D1	XBXT10g004600	100485793	29077999
LOC100485794	pseudouridine-metabolizing bifunctional protein C1861.05	XBXT10g008892	100485794	29078003
LOC100485824	indolethylamine N-methyltransferase	XBXT10g009144	100485824	29078007
LOC100485833	uncharacterized LOC100485833	XBXT10g004677	100485833	29078011
LOC100485840	uncharacterized LOC100485840	XBXT10g011188	100485840	29078015
LOC100485842	olfactory receptor 5V1-like	XBXT10g009092	100485842	29078019
LOC100485854	histone H2A type 1-like	XBXT10g005307	100485854	29078023
LOC100485856	carbohydrate sulfotransferase 1	XBXT10g000546	100485856	29078027
LOC100485858	sialic acid-binding Ig-like lectin 5	XBXT10g006820	100485858	29078031
LOC100485864	uncharacterized LOC100485864	XBXT10g017707	100485864	29078035
