# UNIPROT_ACC,REFSEQ_PROT_ID,REFSEQ_RNA_ID,NCBI_GENE_ID,XB_GENE_ID
A0A023W428,NP_001278991.1,NM_001292062.1,GeneID:100492429,XB-GENE-1216189
A0A1B8XZW2,XP_031760179.1,XM_031904319.1,GeneID:100496027,XB-GENE-29082955
A0A1B8XZX2,XP_002942817.1,XM_002942771.5,GeneID:100491751,XB-GENE-919916
A0A1B8Y029,XP_031747876.1,XM_031892016.1,GeneID:100495930,XB-GENE-6046053
A0A1B8Y043,XP_031746867.1,XM_031891007.1,GeneID:116406623,XB-GENE-29091723
A0A1B8Y089,XP_002940774.1,XM_002940728.4,GeneID:100495764,XB-GENE-940349
A0A1B8Y0F5,XP_031752282.1,XM_031896422.1,GeneID:100489812,XB-GENE-958806
A0A1B8Y0I6,XP_031747745.1,XM_031891885.1,GeneID:100489629,XB-GENE-5732193
A0A1B8Y0K2,XP_017945654.1,XM_018090165.2,GeneID:101731288,XB-GENE-29085247
A0A1B8Y0L0,XP_002942903.3,XM_002942857.5,GeneID:100498553,XB-GENE-29084307
A0A1B8Y0M8,NP_001191751.1,NM_001204822.1,GeneID:100485861,XB-GENE-5965496
A0A1B8Y0Z2,XP_031752304.1,XM_031896444.1,GeneID:100490688,XB-GENE-5720878
A0A1B8Y136,XP_031749589.1,XM_031893729.1,GeneID:100495612,XB-GENE-29077383
A0A1B8Y157,XP_002943284.2,XM_002943238.4,GeneID:100488699,XB-GENE-29079359
A0A1B8Y1A9,XP_031761665.1,XM_031905805.1,GeneID:100495610,XB-GENE-493502
A0A1B8Y1B1,XP_031748211.1,XM_031892351.1,GeneID:100492977,XB-GENE-29081463
A0A1B8Y1F7,XP_004913394.1,XM_004913337.4,GeneID:100142691,XB-GENE-1219148
A0A1B8Y1I5,XP_031762646.1,XM_031906786.1,GeneID:101734259,XB-GENE-29087639
A0A1B8Y1L1,XP_031747431.1,XM_031891571.1,GeneID:100485511,XB-GENE-29077847
A0A1B8Y1L3,XP_002942614.3,XM_002942568.4,GeneID:100494201,XB-GENE-29082083
A0A1B8Y1R2,XP_002942859.1,XM_002942813.3,GeneID:100488697,XB-GENE-29079351
A0A1B8Y1S5,XP_002942860.1,XM_002942814.5,GeneID:100488861,XB-GENE-29079451
A0A1B8Y1S6,XP_004916473.1,XM_004916416.4,GeneID:101731079,XB-GENE-29085079
A0A1B8Y1T4,XP_004919733.1,XM_004919676.3,GeneID:101732105,XB-GENE-29085871
A0A1B8Y266,XP_017945571.1,XM_018090082.2,GeneID:100495394,XB-GENE-996901
A0A1B8Y2F0,XP_004919702.1,XM_004919645.4,GeneID:101731892,XB-GENE-5907771
A0A1B8Y2M3,XP_004915654.1,XM_004915597.2,GeneID:100491917,XB-GENE-29080939
A0A1B8Y2S8,XP_031749295.1,XM_031893435.1,GeneID:100490846,XB-GENE-29080403
A0A1B8Y2T5,XP_004919672.1,XM_004919615.4,GeneID:100496503,XB-GENE-959529
A0A1B8Y2V2,XP_017945505.2,XM_018090016.2,GeneID:100491016,XB-GENE-29080499
A0A1B8Y2Z3,XP_031760810.1,XM_031904950.1,GeneID:394967,XB-GENE-29098931
A0A1B8Y313,XP_017945499.1,XM_018090010.2,GeneID:100488133,XB-GENE-6046948
A0A1B8Y375,XP_002935122.3,XM_002935076.5,GeneID:100494545,XB-GENE-29082243
A0A1B8Y381,XP_031758978.1,XM_031903118.1,GeneID:100494225,XB-GENE-29082095
A0A1B8Y385,XP_002942333.1,XM_002942287.4,GeneID:100494076,XB-GENE-5904319
A0A1B8Y3C0,XP_002937040.1,XM_002936994.4,GeneID:100302393,XB-GENE-973335
A0A1B8Y3D5,XP_017945454.1,XM_018089965.2,GeneID:101730484,XB-GENE-959412
A0A1B8Y3E9,XP_004919624.1,XM_004919567.4,GeneID:101732550,XB-GENE-29086191
A0A1B8Y3F0,XP_004919612.1,XM_004919555.4,GeneID:100487479,XB-GENE-22069379
A0A1B8Y3F8,XP_031748587.1,XM_031892727.1,GeneID:779639,XB-GENE-1018339
A0A1B8Y3G3,XP_002943399.1,XM_002943353.5,GeneID:100488920,XB-GENE-979881
A0A1B8Y3J5,XP_031756249.1,XM_031900389.1,GeneID:101730310,XB-GENE-1011394
A0A1B8Y405,XP_004915512.1,XM_004915455.4,GeneID:100496325,XB-GENE-968452
A0A1B8Y449,XP_004915519.1,XM_004915462.1,GeneID:100496170,XB-GENE-5817486
A0A1B8Y467,NP_001192158.1,NM_001205229.1,GeneID:100485465,XB-GENE-923452
A0A1B8Y474,XP_002942456.2,XM_002942410.5,GeneID:100496083,XB-GENE-22061928
A0A1B8Y4I1,XP_002941887.2,XM_002941841.5,GeneID:100489323,XB-GENE-959285
A0A1B8Y4L4,XP_002942422.1,XM_002942376.1,GeneID:100488858,XB-GENE-29079439
A0A1B8Y4L8,XP_002942420.1,XM_002942374.3,GeneID:100488533,XB-GENE-29079239
A0A1B8Y4M1,XP_031756260.1,XM_031900400.1,GeneID:100487171,XB-GENE-29078647
A0A1B8Y4M3,XP_031754412.1,XM_031898552.1,GeneID:100489222,XB-GENE-29099727
A0A1B8Y4M9,XP_002942418.1,XM_002942372.3,GeneID:100488220,XB-GENE-22167963
A0A1B8Y4P5,XP_031755223.1,XM_031899363.1,GeneID:116409809,XB-GENE-29095771
A0A1B8Y4P8,XP_004919461.1,XM_004919404.4,GeneID:496602,XB-GENE-5760490
A0A1B8Y4V6,XP_031753942.1,XM_031898082.1,GeneID:780196,XB-GENE-959274
A0A1B8Y4Y6,NP_001265365.1,NM_001278436.2,GeneID:100487963,XB-GENE-5823411
A0A1B8Y594,XP_012823715.1,XM_012968261.3,GeneID:493251,XB-GENE-969953
A0A1B8Y5A3,XP_012823952.1,XM_012968498.3,GeneID:550054,XB-GENE-5721534
A0A1B8Y5J8,XP_012827074.1,XM_012971620.3,GeneID:407963,XB-GENE-5854991
A0A1B8Y5K8,XP_004918786.1,XM_004918729.4,GeneID:101732928,XB-GENE-970062
A0A1B8Y5X0,XP_031746568.1,XM_031890708.1,GeneID:100496031,XB-GENE-29082959
A0A1B8Y6G2,XP_012816142.1,XM_012960688.2,GeneID:100216157,XB-GENE-943577
A0A1B8Y6H2,XP_012817237.1,XM_012961783.3,GeneID:105947030,XB-GENE-29089419
A0A1B8Y6H5,XP_002935088.1,XM_002935042.4,GeneID:100497895,XB-GENE-940694
A0A1B8Y6J2,XP_017945160.1,XM_018089671.2,GeneID:100491517,XB-GENE-29080731
A0A1B8Y6K3,XP_017945158.1,XM_018089669.2,GeneID:100491517,XB-GENE-29080731
A0A1B8Y6K8,XP_012812597.1,XM_012957143.3,GeneID:733897,XB-GENE-996022
A0A1B8Y6L1,XP_017945159.1,XM_018089670.2,GeneID:100491517,XB-GENE-29080731
A0A1B8Y6L5,XP_017945157.1,XM_018089668.1,GeneID:100491517,XB-GENE-29080731
A0A1B8Y6V8,XP_031762582.1,XM_031906722.1,GeneID:101733212,XB-GENE-29086803
A0A1B8Y6W6,XP_012821909.1,XM_012966455.3,GeneID:493244,XB-GENE-991243
A0A1B8Y6X8,XP_004916667.2,XM_004916610.2,GeneID:101733670,XB-GENE-29087143
A0A1B8Y6Y4,XP_012808328.1,XM_012952874.3,GeneID:105945276,XB-GENE-29088571
A0A1B8Y6Y7,XP_002938241.1,XM_002938195.4,GeneID:100486488,XB-GENE-991240
A0A1B8Y6Z8,XP_017945128.1,XM_018089639.1,GeneID:108644815,XB-GENE-29090271
A0A1B8Y701,XP_002938257.1,XM_002938211.5,GeneID:100489120,XB-GENE-29079575
A0A1B8Y710,XP_017945126.1,XM_018089637.2,GeneID:108644814,XB-GENE-29090267
A0A1B8Y732,XP_002935147.1,XM_002935101.2,GeneID:100485680,XB-GENE-29077931
A0A1B8Y741,XP_012825243.1,XM_012969789.2,GeneID:101733847,XB-GENE-29087271
A0A1B8Y747,XP_002935114.1,XM_002935068.5,GeneID:100493051,XB-GENE-29081495
A0A1B8Y758,XP_004917603.1,XM_004917546.4,GeneID:100491384,XB-GENE-29080659
A0A1B8Y760,XP_031746610.1,XM_031890750.1,GeneID:100492062,XB-GENE-29081007
A0A1B8Y762,XP_031747933.1,XM_031892073.1,GeneID:101731924,XB-GENE-29085719
A0A1B8Y763,XP_012825232.1,XM_012969778.3,GeneID:100492724,XB-GENE-29081311
A0A1B8Y772,XP_002935106.1,XM_002935060.5,GeneID:100491548,XB-GENE-29080747
A0A1B8Y774,XP_012825240.1,XM_012969786.3,GeneID:101735031,XB-GENE-29088235
A0A1B8Y777,XP_002935148.2,XM_002935102.3,GeneID:100485824,XB-GENE-29078007
A0A1B8Y783,XP_002935113.1,XM_002935067.5,GeneID:100492889,XB-GENE-29081399
A0A1B8Y787,XP_031762736.1,XM_031906876.1,GeneID:100127826,XB-GENE-5873752
A0A1B8Y792,XP_012825233.1,XM_012969779.3,GeneID:100491384,XB-GENE-29080659
A0A1B8Y795,XP_012825238.1,XM_012969784.3,GeneID:100497639,XB-GENE-29083767
A0A1B8Y7B2,XP_012820323.1,XM_012964869.3,GeneID:779508,XB-GENE-956662
A0A1B8Y7C6,XP_002938761.1,XM_002938715.5,GeneID:100487794,XB-GENE-992000
A0A1B8Y7E7,NP_001106578.2,NM_001113107.2,GeneID:100127790,XB-GENE-5888666
A0A1B8Y7H5,XP_031747068.1,XM_031891208.1,GeneID:101732679,XB-GENE-29086295
A0A1B8Y7Q7,XP_004916711.1,XM_004916654.4,GeneID:101734284,XB-GENE-29087651
A0A1B8Y7Q9,XP_002941138.2,XM_002941092.5,GeneID:100491408,XB-GENE-29080675
A0A1B8Y7R5,XP_012824938.1,XM_012969484.3,GeneID:101734284,XB-GENE-29087651
A0A1B8Y7R6,XP_031758950.1,XM_031903090.1,GeneID:116411111,XB-GENE-29097055
A0A1B8Y7U9,XP_031747474.1,XM_031891614.1,GeneID:100491742,XB-GENE-29080835
A0A1B8Y7V0,XP_017945053.1,XM_018089564.2,GeneID:100491571,XB-GENE-29080755
A0A1B8Y806,XP_004919325.2,XM_004919268.4,GeneID:101730806,XB-GENE-29084843
A0A1B8Y809,XP_004919327.1,XM_004919270.4,GeneID:101731006,XB-GENE-29085015
A0A1B8Y816,XP_002940877.3,XM_002940831.4,GeneID:100495870,XB-GENE-29082843
A0A1B8Y828,XP_004919333.1,XM_004919276.4,GeneID:100380111,XB-GENE-5793646
A0A1B8Y839,XP_004919338.1,XM_004919281.4,GeneID:100486056,XB-GENE-5896328
A0A1B8Y870,XP_004915680.1,XM_004915623.4,GeneID:100487181,XB-GENE-5998703
A0A1B8Y874,XP_002943789.2,XM_002943743.5,GeneID:100487332,XB-GENE-5772271
A0A1B8Y8H5,XP_004919170.1,XM_004919113.4,GeneID:101730918,XB-GENE-29084935
A0A1B8Y8H7,XP_002940265.1,XM_002940219.5,GeneID:100498642,XB-GENE-876678
A0A1B8Y8J4,XP_012812537.1,XM_012957083.3,GeneID:100170588,XB-GENE-994183
A0A1B8Y8K7,XP_002942576.1,XM_002942530.5,GeneID:100498234,XB-GENE-5945947
A0A1B8Y8M3,XP_002940624.1,XM_002940578.3,GeneID:100490785,XB-GENE-22065255
A0A1B8Y8M8,XP_004911177.1,XM_004911120.3,GeneID:101730379,XB-GENE-23659673
A0A1B8Y8M9,XP_002941815.1,XM_002941769.5,GeneID:100498017,XB-GENE-479577
A0A1B8Y8N5,XP_004912488.1,XM_004912431.1,GeneID:101730288,XB-GENE-29084451
A0A1B8Y8P3,XP_002940397.1,XM_002940351.5,GeneID:100498122,XB-GENE-994428
A0A1B8Y8P4,XP_002942577.1,XM_002942531.4,GeneID:100498389,XB-GENE-23659678
A0A1B8Y8P5,XP_002941602.3,XM_002941556.3,GeneID:100498544,XB-GENE-29084299
A0A1B8Y8R3,XP_004912479.2,XM_004912422.2,GeneID:101734061,XB-GENE-29087495
A0A1B8Y8S2,XP_004912476.1,XM_004912419.1,GeneID:101733435,XB-GENE-29086967
A0A1B8Y8S9,XP_002943654.1,XM_002943608.1,GeneID:100497299,XB-GENE-29083623
A0A1B8Y8T6,XP_002941614.1,XM_002941568.4,GeneID:100486700,XB-GENE-5900544
A0A1B8Y8U1,XP_002941607.1,XM_002941561.1,GeneID:100485649,XB-GENE-29077907
A0A1B8Y8U5,XP_002940792.2,XM_002940746.2,GeneID:100486201,XB-GENE-29078231
A0A1B8Y8U9,XP_017944963.1,XM_018089474.2,GeneID:100497290,XB-GENE-29083611
A0A1B8Y8W2,XP_031752106.1,XM_031896246.1,GeneID:100486392,XB-GENE-29078319
A0A1B8Y8Y8,XP_002941616.3,XM_002941570.4,GeneID:100487169,XB-GENE-29078643
A0A1B8Y900,XP_031755378.1,XM_031899518.1,GeneID:100493138,XB-GENE-29081531
A0A1B8Y901,XP_017944956.1,XM_018089467.2,GeneID:100490626,XB-GENE-29080263
A0A1B8Y922,XP_002941247.2,XM_002941201.5,GeneID:100127732,XB-GENE-969639
A0A1B8Y9B0,XP_017944932.1,XM_018089443.2,GeneID:100486062,XB-GENE-996278
A0A1B8Y9B4,XP_002940423.2,XM_002940377.5,GeneID:100492563,XB-GENE-958537
A0A1B8Y9C0,XP_004918744.1,XM_004918687.4,GeneID:100497705,XB-GENE-994165
A0A1B8Y9C2,XP_002940260.2,XM_002940214.5,GeneID:100380169,XB-GENE-994170
A0A1B8Y9F0,XP_004918756.1,XM_004918699.3,GeneID:100499212,XB-GENE-6492280
A0A1B8Y9F5,XP_031750572.1,XM_031894712.1,GeneID:100488319,XB-GENE-994790
A0A1B8Y9I8,XP_031750585.1,XM_031894725.1,GeneID:100486967,XB-GENE-6489513
A0A1B8Y9K3,XP_031758752.1,XM_031902892.1,GeneID:116411068,XB-GENE-29096995
A0A1B8Y9M5,XP_004916469.1,XM_004916412.4,GeneID:101730294,XB-GENE-29084455
A0A1B8YA01,XP_012820402.1,XM_012964948.3,GeneID:780260,XB-GENE-5805848
A0A1B8YA12,XP_004918886.1,XM_004918829.4,GeneID:100486746,XB-GENE-490331
A0A1B8YA23,XP_017944894.1,XM_018089405.2,GeneID:100145032,XB-GENE-5889659
A0A1B8YA75,XP_012823998.1,XM_012968544.3,GeneID:733891,XB-GENE-492565
A0A1B8YA76,XP_002941926.2,XM_002941880.5,GeneID:100487637,XB-GENE-29078839
A0A1B8YA78,NP_001243832.1,NM_001256903.1,GeneID:733891,XB-GENE-492565
A0A1B8YAF7,XP_002938413.1,XM_002938367.5,GeneID:100491616,XB-GENE-29080779
A0A1B8YAJ2,XP_012816430.1,XM_012960976.3,GeneID:496495,XB-GENE-956242
A0A1B8YAQ2,XP_002935082.1,XM_002935036.5,GeneID:100496945,XB-GENE-29083415
A0A1P0XRN1,XP_031746577.1,XM_031890717.1,GeneID:100488257,XB-GENE-852569
A0A1P0XRT5,XP_012823932.1,XM_012968478.3,GeneID:549994,XB-GENE-958927
A0A219UQI0,XP_031750142.1,XM_031894282.1,GeneID:116407943,XB-GENE-29093543
A0A2I3VWS3,XP_031757450.1,XM_031901590.1,GeneID:100495843,XB-GENE-29077115
A0A2S1ZNT3,XP_031754026.1,XM_031898166.1,GeneID:116409506,XB-GENE-29095047
A0A2Z5WPK9,XP_004918484.1,XM_004918427.4,GeneID:100486089,XB-GENE-22064864
A0A310SUH5,XP_012810222.1,XM_012954768.3,GeneID:100379681,XB-GENE-948088
A0A310SUL1,XP_002941442.1,XM_002941396.5,GeneID:100379822,XB-GENE-5746198
A0A310T3I1,XP_031754532.1,XM_031898672.1,GeneID:100488536,XB-GENE-29079243
A0A310T881,XP_004912534.1,XM_004912477.4,GeneID:100037838,XB-GENE-5902559
A0A310T8V8,XP_031754534.1,XM_031898674.1,GeneID:100488536,XB-GENE-29079243
A0A4X2PUB3,XP_012827164.1,XM_012971710.3,GeneID:496703,XB-GENE-922050
A0A4X2Q3J5,XP_031755578.1,XM_031899718.1,GeneID:100038218,XB-GENE-489644
A0A4X2QK42,XP_002933913.1,XM_002933867.5,GeneID:733844,XB-GENE-5858611
A0A4X2QQI2,XP_012812209.1,XM_012956755.3,GeneID:448513,XB-GENE-5751426
A0A4X2QUZ6,XP_031757608.1,XM_031901748.1,GeneID:733719,XB-GENE-1015369
A0A5G3H6S4,XP_031755976.1,XM_031900116.1,GeneID:549957,XB-GENE-5735786
A0A5G3HFU6,XP_031755647.1,XM_031899787.1,GeneID:100127699,XB-GENE-5726293
A0A5G3HUQ0,NP_001090804.1,NM_001097335.2,GeneID:100037901,XB-GENE-29077407
A0A5G3I0E4,NP_001093694.1,NM_001100224.1,GeneID:100101703,XB-GENE-480993
A0A5G3I9B4,XP_002931850.1,XM_002931804.2,GeneID:100490748,XB-GENE-22169793
A0A5G3IJA4,XP_012808287.1,XM_012952833.3,GeneID:100495240,XB-GENE-5913743
A0A5G3J5M4,XP_002940487.3,XM_002940441.5,GeneID:100496864,XB-GENE-29099275
A0A5G3JE16,XP_031762003.1,XM_031906143.1,GeneID:101733884,XB-GENE-6033184
A0A5G3K640,XP_031747309.1,XM_031891449.1,GeneID:100379813,XB-GENE-1015495
A0A5G3KC04,XP_004913565.1,XM_004913508.2,GeneID:101733231,XB-GENE-29086815
A0A5G3KCU8,XP_002937844.2,XM_002937798.5,GeneID:100486049,XB-GENE-990660
A0A5G3KGE3,XP_017948055.2,XM_018092566.2,GeneID:108644450,XB-GENE-22068277
A0A5G3KRE5,XP_002934925.2,XM_002934879.5,GeneID:100488405,XB-GENE-852581
A0A5G3KZ12,XP_002931653.2,XM_002931607.5,GeneID:100497137,XB-GENE-6035156
A0A5G3LBG1,XP_004915228.1,XM_004915171.3,GeneID:101732426,XB-GENE-6465054
A0A5K1UQR0,NP_001090762.1,NM_001097293.1,GeneID:100037847,XB-GENE-961347
A0A5S6JXN2,XP_012817757.1,XM_012962303.3,GeneID:549181,XB-GENE-5802753
A0A5S6JZR7,XP_002934913.3,XM_002934867.5,GeneID:100485486,XB-GENE-985851
A0A5S6K347,XP_031759234.1,XM_031903374.1,GeneID:548853,XB-GENE-5848800
A0A5S6KA86,XP_031757599.1,XM_031901739.1,GeneID:595082,XB-GENE-6458249
A0A5S6KDG2,XP_031757606.1,XM_031901746.1,GeneID:733484,XB-GENE-947040
A0A5S6KF84,XP_031752488.1,XM_031896628.1,GeneID:100493507,XB-GENE-6507479
A0A5S6KFZ0,XP_031746400.1,XM_031890540.1,GeneID:779772,XB-GENE-987311
A0A5S6KPN6,XP_012817320.1,XM_012961866.3,GeneID:548727,XB-GENE-950805
A0A5S6KRA5,XP_017948388.1,XM_018092899.2,GeneID:496996,XB-GENE-971776
A0A5S6KTE9,XP_002938584.1,XM_002938538.5,GeneID:100486384,XB-GENE-29078315
A0A5S6KW99,XP_012820013.1,XM_012964559.3,GeneID:493267,XB-GENE-922650
A0A5S6KYG6,XP_031755909.1,XM_031900049.1,GeneID:496453,XB-GENE-990398
A0A5S6L2R1,XP_004911234.1,XM_004911177.4,GeneID:100485979,XB-GENE-5852839
A0A5S6L4I4,XP_017951721.1,XM_018096232.2,GeneID:496462,XB-GENE-5933194
A0A5S6L6J5,XP_002938415.2,XM_002938369.5,GeneID:100492015,XB-GENE-956237
A0A5S6L9Z4,XP_031746426.1,XM_031890566.1,GeneID:780046,XB-GENE-5862185
A0A5S6LDJ9,XP_012823720.1,XM_012968266.2,GeneID:493351,XB-GENE-6258064
A0A5S6LFP1,XP_012816386.1,XM_012960932.3,GeneID:493428,XB-GENE-478728
A0A5S6LGK1,XP_031757267.1,XM_031901407.1,GeneID:100036614,XB-GENE-990021
A0A5S6LGV5,XP_031757990.1,XM_031902130.1,GeneID:100145560,XB-GENE-1003881
A0A5S6LIC4,XP_017950290.1,XM_018094801.2,GeneID:100488559,XB-GENE-29079263
A0A5S6LLN0,XP_017947649.1,XM_018092160.2,GeneID:779811,XB-GENE-5815813
A0A5S6LN42,XP_012813826.1,XM_012958372.3,GeneID:100038282,XB-GENE-982219
A0A5S6LNM1,XP_002934679.1,XM_002934633.3,GeneID:100492325,XB-GENE-5932120
A0A5S6LPV1,XP_017948502.1,XM_018093013.2,GeneID:493268,XB-GENE-941086
A0A5S6LRX9,XP_031748458.1,XM_031892598.1,GeneID:448330,XB-GENE-5747721
A0A5S6LX95,XP_012812089.1,XM_012956635.3,GeneID:100145792,XB-GENE-952722
A0A5S6M1L4,XP_031757620.1,XM_031901760.1,GeneID:733937,XB-GENE-1016132
A0A5S6M744,XP_031756263.1,XM_031900403.1,GeneID:100487018,XB-GENE-959230
A0A5S6MB18,XP_002935684.2,XM_002935638.5,GeneID:100485885,XB-GENE-1018445
A0A5S6MBL5,XP_031751734.1,XM_031895874.1,GeneID:448735,XB-GENE-5716026
A0A5S6MBM4,XP_004915205.1,XM_004915148.3,GeneID:100491944,XB-GENE-481238
A0A5S6MNG3,XP_002940596.2,XM_002940550.5,GeneID:100496645,XB-GENE-22068201
A0A5S6MNS4,XP_004913698.1,XM_004913641.4,GeneID:100487116,XB-GENE-483494
A0A5S6MQ68,XP_012814265.1,XM_012958811.1,GeneID:448158,XB-GENE-876322
A0A5S6MQY1,XP_012825424.1,XM_012969970.3,GeneID:100124860,XB-GENE-6258756
A0A5S6MVR8,XP_017946493.1,XM_018091004.2,GeneID:108645703,XB-GENE-983171
