# GENE_SYMBOL	NCBI_GENE_ID	XB_GENE_ID	GENE_NAME
42sp43	GeneID:548848	XB-GENE-5898342	P43 5S RNA-binding protein
LOC100127856	GeneID:100127856	NA	matrix metalloproteinase-18
LOC100127857	GeneID:100127857	NA	uncharacterized LOC100127857
LOC100127860	GeneID:100127860	NA	uncharacterized LOC100127860
LOC100127872	GeneID:100127872	XB-GENE-5818975	uncharacterized XB5818974
LOC100127873	GeneID:100127873	XB-GENE-5896632	glucuronokinase 1
LOC100135070	GeneID:100135070	XB-GENE-5802731	Ras-related protein Rab-10-like [provisional]
LOC100135120	GeneID:100135120	XB-GENE-5729192	uncharacterized XB5729191
LOC100135136	GeneID:100135136	XB-GENE-5756114	phospholipase A2 inhibitor subunit gamma B
LOC100135138	GeneID:100135138	XB-GENE-5843131	uncharacterized XB5843130
LOC100135146	GeneID:100135146	XB-GENE-5894821	uncharacterized XB5894820
LOC100135185	GeneID:100135185	XB-GENE-5918647	hypothetical protein LOC100135185
LOC100135188	GeneID:100135188	NA	uncharacterized LOC100135188
LOC100135198	GeneID:100135198	XB-GENE-5857569	provisional ortholog of apolipoprotein A1
LOC100135222	GeneID:100135222	XB-GENE-5949754	uncharacterized XB5949753
LOC100135231	GeneID:100135231	XB-GENE-5872521	uncharacterized XB5872520
LOC100135246	GeneID:100135246	XB-GENE-5904900	uncharacterized XB5904899
LOC100135349	GeneID:100135349	XB-GENE-5798884	Ig mu chain C region membrane-bound form
LOC100135356	GeneID:100135356	XB-GENE-1007200	transmembrane protein 86A
LOC100135366	GeneID:100135366	XB-GENE-5952893	uncharacterized XB5952892
LOC100135367	GeneID:100135367	XB-GENE-941700	uncharacterized XB941699
LOC100135371	GeneID:100135371	XB-GENE-5774339	uncharacterized XB5774338
LOC100135382	GeneID:100135382	XB-GENE-5961370	provisional ortholog of phospholipid phosphatase 3
LOC100135384	GeneID:100135384	XB-GENE-5886929	uncharacterized XB5886928
LOC100135389	GeneID:100135389	XB-GENE-5862140	provisional ortholog of mal, T cell differentiation protein
LOC100135405	GeneID:100135405	NA	uncharacterized LOC100135405
LOC100136946	GeneID:100136946	XB-GENE-5783658	provisional ortholog of tripartite motif containing 25
LOC100144286	GeneID:100144286	XB-GENE-5730432	uncharacterized XB5730431
LOC100144919	GeneID:100144919	XB-GENE-5850669	uncharacterized XB5850668
LOC100144947	GeneID:100144947	XB-GENE-5949739	uncharacterized XB5949738
LOC100144954	GeneID:100144954	NA	uncharacterized LOC100144954
LOC100144966	GeneID:100144966	XB-GENE-5772074	provisional ortholog of SRSF protein kinase 1
LOC100144969	GeneID:100144969	XB-GENE-5936513	uncharacterized XB5936512
LOC100144974	GeneID:100144974	NA	uncharacterized LOC100144974
LOC100144983	GeneID:100144983	XB-GENE-5958876	uncharacterized XB5958875
LOC100144987	GeneID:100144987	XB-GENE-5961850	provisional ortholog of inositol-tetrakisphosphate 1-kinase
LOC100145000	GeneID:100145000	XB-GENE-5740037	uncharacterized XB5740036
LOC100145002	GeneID:100145002	XB-GENE-5749128	uncharacterized XB5749127
LOC100145011	GeneID:100145011	XB-GENE-5866418	malate synthase, glyoxysomal
LOC100145014	GeneID:100145014	XB-GENE-5954423	uncharacterized XB5954422
LOC100145027	GeneID:100145027	XB-GENE-5907627	provisional ortholog of fatty acid binding protein 1
LOC100145035	GeneID:100145035	XB-GENE-5864910	provisional ortholog of ring finger protein 170
LOC100145070	GeneID:100145070	XB-GENE-5838590	provisional ortholog of ADAM metallopeptidase domain 9
LOC100145082	GeneID:100145082	NA	uncharacterized LOC100145082
LOC100145084	GeneID:100145084	XB-GENE-5798855	uncharacterized XB5798854
LOC100145100	GeneID:100145100	XB-GENE-5761891	provisional ortholog of N-acetyltransferase 16 (putative)
LOC100145105	GeneID:100145105	XB-GENE-5762394	provisional ortholog of tripartite motif containing 25
LOC100145107	GeneID:100145107	XB-GENE-5745824	uncharacterized XB5745823
LOC100145110	GeneID:100145110	XB-GENE-5780652	uncharacterized XB5780651
LOC100145115	GeneID:100145115	NA	uncharacterized LOC100145115
LOC100145144	GeneID:100145144	XB-GENE-5901662	provisional ortholog of Rab9 effector protein with kelch motifs
LOC100145148	GeneID:100145148	NA	uncharacterized LOC100145148
LOC100145149	GeneID:100145149	XB-GENE-5852427	provisional ortholog of adenine phosphoribosyltransferase
LOC100145155	GeneID:100145155	XB-GENE-5947714	uncharacterized XB5947713
LOC100145161	GeneID:100145161	XB-GENE-5727065	uncharacterized XB5727064
LOC100145162	GeneID:100145162	NA	E1A-binding protein p400
LOC100145165	GeneID:100145165	XB-GENE-5809688	uncharacterized XB5809687
LOC100145174	GeneID:100145174	XB-GENE-5789558	uncharacterized XB5789557
LOC100145250	GeneID:100145250	XB-GENE-5762452	hypothetical protein LOC100145250
LOC100145255	GeneID:100145255	XB-GENE-5799769	uncharacterized XB5799768
LOC100145285	GeneID:100145285	XB-GENE-5935728	uncharacterized XB5935727
LOC100145323	GeneID:100145323	XB-GENE-5769267	uncharacterized XB5769266
LOC100145328	GeneID:100145328	NA	NameIsNotAvailable
LOC100145331	GeneID:100145331	XB-GENE-984298	provisional ortholog of cytochrome P450 family 27 subfamily A member 1
LOC100145338	GeneID:100145338	NA	TRAF3 interacting protein 3
LOC100145348	GeneID:100145348	XB-GENE-5852575	provisional ortholog of C-reactive protein
LOC100145419	GeneID:100145419	XB-GENE-5856158	provisional ortholog of endonuclease domain containing 1
LOC100145428	GeneID:100145428	XB-GENE-5740126	provisional ortholog of tetraspanin 3
LOC100145442	GeneID:100145442	XB-GENE-5760649	provisional ortholog of phospholipase A2 inhibitor and LY6/PLAUR domain containing
LOC100145446	GeneID:100145446	XB-GENE-5818700	provisional ortholog of coiled-coil domain containing 50
LOC100145450	GeneID:100145450	NA	uncharacterized LOC100145450
LOC100145470	GeneID:100145470	XB-GENE-5829484	uncharacterized XB5829483
LOC100145473	GeneID:100145473	NA	uncharacterized LOC100145473
LOC100145486	GeneID:100145486	XB-GENE-5854345	provisional ortholog of nuclear FMR1 interacting protein 2
LOC100145493	GeneID:100145493	NA	uncharacterized LOC100145493
LOC100145496	GeneID:100145496	XB-GENE-5760633	provisional ortholog of polyamine oxidase
LOC100145503	GeneID:100145503	XB-GENE-5872721	uncharacterized XB5872720
LOC100145515	GeneID:100145515	XB-GENE-5793598	uncharacterized XB5793597
LOC100145527	GeneID:100145527	XB-GENE-5885309	provisional ortholog of nuclear receptor coactivator 5
LOC100145531	GeneID:100145531	XB-GENE-5900553	histone H1B
LOC100145533	GeneID:100145533	XB-GENE-5842390	uncharacterized XB5842389
LOC100145541	GeneID:100145541	XB-GENE-5919980	provisional ortholog of cytochrome P450, family 2, subfamily c, polypeptide 55
LOC100145743	GeneID:100145743	XB-GENE-5732281	uncharacterized XB5732280
LOC100145751	GeneID:100145751	XB-GENE-5942350	provisional ortholog of immunoglobulin superfamily member 8
LOC100145763	GeneID:100145763	XB-GENE-5767035	putative serine protease K12H4.7
LOC100145764	GeneID:100145764	NA	tachylectin-2
LOC100145779	GeneID:100145779	NA	bactericidal permeability-increasing protein
LOC100145782	GeneID:100145782	XB-GENE-5845013	provisional ortholog of transmembrane 4 L six family member 5
LOC100145789	GeneID:100145789	NA	uncharacterized LOC100145789
LOC100145817	GeneID:100145817	NA	uncharacterized LOC100145817
LOC100158459	GeneID:100158459	XB-GENE-5956457	uncharacterized XB5956456
LOC100158544	GeneID:100158544	XB-GENE-5950142	uncharacterized XB5950141
LOC100158595	GeneID:100158595	XB-GENE-5721469	uncharacterized XB5721468
LOC100170420	GeneID:100170420	XB-GENE-5909791	MGC80314 protein
LOC100170425	GeneID:100170425	XB-GENE-5807237	uncharacterized XB5807236
LOC100170427	GeneID:100170427	XB-GENE-5882686	provisional ortholog of cell division cycle associated 7
LOC100170428	GeneID:100170428	XB-GENE-5961764	uncharacterized XB5961763
LOC100170429	GeneID:100170429	XB-GENE-5899552	uncharacterized XB5899551
LOC100170432	GeneID:100170432	XB-GENE-5816430	provisional ortholog of mitochondrial trans-2-enoyl-CoA reductase
LOC100170490	GeneID:100170490	XB-GENE-5965331	uncharacterized XB5965330
LOC100170549	GeneID:100170549	XB-GENE-5969699	provisional ortholog of laminin subunit beta 4
LOC100170560	GeneID:100170560	XB-GENE-964898	provisional ortholog of leucine rich repeat containing 8 VRAC subunit C
LOC100170611	GeneID:100170611	NA	A.superbus venom factor 1
LOC100170623	GeneID:100170623	NA	protein mono-ADP-ribosyltransferase PARP4
LOC100216007	GeneID:100216007	NA	uncharacterized LOC100216007
LOC100216020	GeneID:100216020	XB-GENE-5970037	uncharacterized XB5970036
LOC100216027	GeneID:100216027	XB-GENE-5994048	uncharacterized XB5994047
LOC100216037	GeneID:100216037	XB-GENE-5993343	provisional ortholog of IST1 factor associated with ESCRT-III
LOC100216114	GeneID:100216114	XB-GENE-5960520	uncharacterized XB5960519
LOC100216128	GeneID:100216128	XB-GENE-5961957	uncharacterized XB5961956
LOC100216133	GeneID:100216133	XB-GENE-5993458	provisional ortholog of aquaporin 4
LOC100216141	GeneID:100216141	XB-GENE-5992704	uncharacterized XB5992703
LOC100216148	GeneID:100216148	XB-GENE-5992953	provisional ortholog of ADP dependent glucokinase
LOC100216173	GeneID:100216173	XB-GENE-5997771	uncharacterized XB5997770
LOC100216241	GeneID:100216241	NA	uncharacterized LOC100216241
LOC100216308	GeneID:100216308	NA	interleukin 22
LOC100328980	GeneID:100328980	NA	NIMA related kinase 2
LOC100329164	GeneID:100329164	NA	interferon lambda3
LOC100337650	GeneID:100337650	NA	zinc finger protein
LOC100337651	GeneID:100337651	NA	zinc finger protein
LOC100380178	GeneID:100380178	XB-GENE-29072328	beta-1,3 galactosyltransferase 2 like gene 12
LOC100484994	GeneID:100484994	NA	uncharacterized LOC100484994
LOC100485004	GeneID:100485004	NA	E3 ubiquitin-protein ligase TRIM39
LOC100485006	GeneID:100485006	NA	mucin-4
LOC100485009	GeneID:100485009	NA	neuronal pentraxin-1
LOC100485014	GeneID:100485014	NA	merlin
LOC100485015	GeneID:100485015	XB-GENE-22064856	provisional ortholog of zinc finger protein 300
LOC100485036	GeneID:100485036	NA	olfactory receptor 51E1
LOC100485040	GeneID:100485040	NA	uncharacterized LOC100485040
LOC100485044	GeneID:100485044	NA	uncharacterized LOC100485044
LOC100485051	GeneID:100485051	XB-GENE-996292	gastrula zinc finger protein XlCGF57.1-like
LOC100485054	GeneID:100485054	XB-GENE-5965024	uncharacterized XB5965023
LOC100485062	GeneID:100485062	NA	gastrula zinc finger protein XlCGF57.1-like
LOC100485064	GeneID:100485064	NA	uncharacterized LOC100485064
LOC100485069	GeneID:100485069	NA	extracellular calcium-sensing receptor
LOC100485074	GeneID:100485074	NA	butyrophilin subfamily 3 member A2
LOC100485078	GeneID:100485078	NA	olfactory receptor 5V1-like
LOC100485079	GeneID:100485079	NA	intelectin-1
LOC100485083	GeneID:100485083	NA	mucin-4-like
LOC100485096	GeneID:100485096	NA	putative methyltransferase DDB_G0268948
LOC100485112	GeneID:100485112	NA	olfactory receptor 10A7-like
LOC100485113	GeneID:100485113	NA	uroplakin-3b
LOC100485124	GeneID:100485124	NA	zinc finger protein 569
LOC100485132	GeneID:100485132	NA	TRPM8 channel-associated factor homolog
LOC100485135	GeneID:100485135	NA	succinate receptor 1
LOC100485137	GeneID:100485137	NA	sprT-like domain-containing protein Spartan
LOC100485140	GeneID:100485140	NA	trifunctional purine biosynthetic protein adenosine-3
LOC100485144	GeneID:100485144	NA	protein mono-ADP-ribosyltransferase PARP14-like
LOC100485153	GeneID:100485153	XB-GENE-5965587	provisional ortholog of NFKB inhibitor zeta
LOC100485159	GeneID:100485159	XB-GENE-983423	uncharacterized XB983422
LOC100485160	GeneID:100485160	NA	protocadherin-20
LOC100485167	GeneID:100485167	XB-GENE-29072272	major histocompatibility complex, class 1, UC alpha chain
LOC100485172	GeneID:100485172	NA	carcinoembryonic antigen-related cell adhesion molecule 1
LOC100485189	GeneID:100485189	NA	trypsin
LOC100485192	GeneID:100485192	NA	cystine/glutamate transporter
LOC100485197	GeneID:100485197	NA	mucin-2
LOC100485199	GeneID:100485199	NA	transmembrane protein 272
LOC100485203	GeneID:100485203	NA	vacuolar fusion protein MON1 homolog B
LOC100485206	GeneID:100485206	NA	volume-regulated anion channel subunit LRRC8C
LOC100485217	GeneID:100485217	NA	olfactory receptor 1-like
LOC100485218	GeneID:100485218	NA	gastrula zinc finger protein XlCGF17.1-like
LOC100485231	GeneID:100485231	XB-GENE-22063307	butyrophilin subfamily 1 member A1 (provisional)
LOC100485233	GeneID:100485233	NA	putative selection and upkeep of intraepithelial T-cells protein 1 homolog
LOC100485239	GeneID:100485239	NA	histone H1B
LOC100485245	GeneID:100485245	NA	succinate receptor 1
LOC100485254	GeneID:100485254	NA	E3 ubiquitin-protein ligase RNF182
LOC100485256	GeneID:100485256	NA	uncharacterized LOC100485256
LOC100485259	GeneID:100485259	NA	NUAK family SNF1-like kinase 1
LOC100485266	GeneID:100485266	NA	uroplakin-3b
LOC100485271	GeneID:100485271	NA	histone H4
LOC100485272	GeneID:100485272	NA	angiopoietin-2
LOC100485279	GeneID:100485279	NA	putative protein ZNF720
LOC100485292	GeneID:100485292	XB-GENE-5962543	uncharacterized XB5962542
LOC100485303	GeneID:100485303	NA	fructose-1,6-bisphosphatase 1-like
LOC100485312	GeneID:100485312	NA	ficolin-2
LOC100485319	GeneID:100485319	NA	mucin-4
LOC100485322	GeneID:100485322	NA	brain-specific angiogenesis inhibitor 1-associated protein 2
LOC100485327	GeneID:100485327	NA	UNC93-like protein MFSD11
LOC100485335	GeneID:100485335	NA	paired box protein Pax-6
LOC100485340	GeneID:100485340	NA	oocyte zinc finger protein XlCOF7.1-like
LOC100485343	GeneID:100485343	NA	mucin-5AC
LOC100485344	GeneID:100485344	XB-GENE-22069530	prostaglandin reductase 1, gene 4
LOC100485347	GeneID:100485347	NA	trypsin
LOC100485348	GeneID:100485348	NA	boophilin-G2
LOC100485351	GeneID:100485351	NA	interferon-induced very large GTPase 1-like
LOC100485355	GeneID:100485355	NA	low affinity immunoglobulin gamma Fc region receptor IV
LOC100485356	GeneID:100485356	NA	mucin-2
LOC100485358	GeneID:100485358	NA	toll-like receptor 2
LOC100485372	GeneID:100485372	NA	olfactory receptor 1J4
LOC100485381	GeneID:100485381	NA	ficolin-1-A-like
LOC100485385	GeneID:100485385	NA	extracellular calcium-sensing receptor
LOC100485394	GeneID:100485394	NA	adiponectin
LOC100485404	GeneID:100485404	NA	uncharacterized LOC100485404
LOC100485405	GeneID:100485405	NA	mucin-2
LOC100485409	GeneID:100485409	NA	succinate receptor 1
LOC100485429	GeneID:100485429	NA	E3 ubiquitin-protein ligase TRIM39
LOC100485431	GeneID:100485431	NA	olfactory receptor 1019-like
LOC100485437	GeneID:100485437	XB-GENE-5957216	melanopsin-B-like
LOC100485453	GeneID:100485453	NA	uncharacterized LOC100485453
LOC100485454	GeneID:100485454	NA	corticoliberin
LOC100485462	GeneID:100485462	XB-GENE-996621	chromosome 10 C1orf198 homolog
LOC100485478	GeneID:100485478	NA	ficolin-1
LOC100485482	GeneID:100485482	NA	heat shock factor protein 5
LOC100485499	GeneID:100485499	NA	olfactory receptor 4Q2
LOC100485506	GeneID:100485506	NA	olfactory receptor 2G6
LOC100485511	GeneID:100485511	NA	uncharacterized LOC100485511
LOC100485515	GeneID:100485515	NA	proteasomal ATPase-associated factor 1
LOC100485521	GeneID:100485521	NA	olfactory receptor 11L1-like
LOC100485533	GeneID:100485533	NA	extracellular calcium-sensing receptor
LOC100485534	GeneID:100485534	NA	probable beta-D-xylosidase 5
LOC100485537	GeneID:100485537	XB-GENE-5852328	uncharacterized XB5852327
LOC100485541	GeneID:100485541	NA	olfactory receptor 5V1-like
LOC100485548	GeneID:100485548	NA	histone H2A type 1
LOC100485551	GeneID:100485551	NA	protein spire homolog 1
LOC100485552	GeneID:100485552	NA	uncharacterized LOC100485552
LOC100485553	GeneID:100485553	NA	uncharacterized LOC100485553
LOC100485573	GeneID:100485573	NA	olfactory receptor 5V1-like
LOC100485581	GeneID:100485581	XB-GENE-940395	cyclin-O protein B-like
LOC100485583	GeneID:100485583	XB-GENE-990109	cystatin-like
LOC100485626	GeneID:100485626	NA	uncharacterized LOC100485626
LOC100485630	GeneID:100485630	NA	lysozyme g
LOC100485635	GeneID:100485635	XB-GENE-5727635	uncharacterized XB5727634
LOC100485636	GeneID:100485636	NA	C-X-C motif chemokine receptor 3
LOC100485637	GeneID:100485637	NA	myosin-7
LOC100485649	GeneID:100485649	NA	olfactory receptor 52D1
LOC100485652	GeneID:100485652	XB-GENE-29072385	beta-1,3 galactosyltransferase 2 like gene 13
LOC100485657	GeneID:100485657	NA	beta-1,4-galactosyltransferase galt-1
LOC100485658	GeneID:100485658	NA	uncharacterized LOC100485658
LOC100485665	GeneID:100485665	NA	uncharacterized LOC100485665
LOC100485669	GeneID:100485669	NA	uncharacterized LOC100485669
LOC100485670	GeneID:100485670	NA	uncharacterized LOC100485670
LOC100485680	GeneID:100485680	NA	nicotinamide N-methyltransferase
LOC100485681	GeneID:100485681	NA	UPF0329 protein ECU05_1680/ECU11_0050
LOC100485683	GeneID:100485683	NA	extracellular calcium-sensing receptor-like
LOC100485686	GeneID:100485686	NA	protein kinase C delta type
LOC100485695	GeneID:100485695	NA	olfactory receptor 5V1-like
LOC100485697	GeneID:100485697	NA	homeobox protein Nkx-2.1
LOC100485704	GeneID:100485704	NA	zinc finger protein 585A-like
LOC100485711	GeneID:100485711	NA	NameIsNotAvailable
LOC100485712	GeneID:100485712	NA	protein kinase C theta type
LOC100485719	GeneID:100485719	NA	uncharacterized LOC100485719
LOC100485723	GeneID:100485723	NA	5-hydroxytryptamine receptor 1B
LOC100485726	GeneID:100485726	NA	olfactory receptor 6F1
LOC100485739	GeneID:100485739	NA	serine/threonine-protein kinase N1
LOC100485740	GeneID:100485740	NA	olfactory receptor 10A7-like
LOC100485752	GeneID:100485752	NA	E3 ubiquitin/ISG15 ligase TRIM25
LOC100485772	GeneID:100485772	NA	fibrinogen-like protein 1-like protein
LOC100485774	GeneID:100485774	NA	cystatin-C
LOC100485787	GeneID:100485787	NA	glycerol-3-phosphate acyltransferase 3
LOC100485792	GeneID:100485792	XB-GENE-5900383	provisional ortholog of myosin heavy chain 3
LOC100485793	GeneID:100485793	NA	olfactory receptor 52D1
LOC100485794	GeneID:100485794	NA	pseudouridine-metabolizing bifunctional protein C1861.05
LOC100485824	GeneID:100485824	NA	indolethylamine N-methyltransferase
LOC100485833	GeneID:100485833	NA	uncharacterized LOC100485833
LOC100485840	GeneID:100485840	NA	uncharacterized LOC100485840
LOC100485842	GeneID:100485842	NA	olfactory receptor 5V1-like
LOC100485854	GeneID:100485854	NA	histone H2A type 1-like
LOC100485856	GeneID:100485856	NA	carbohydrate sulfotransferase 1
LOC100485858	GeneID:100485858	NA	sialic acid-binding Ig-like lectin 5
LOC100485864	GeneID:100485864	NA	uncharacterized LOC100485864
LOC100485872	GeneID:100485872	NA	olfactory receptor 5V1-like
LOC100485879	GeneID:100485879	NA	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
LOC100485882	GeneID:100485882	NA	olfactory receptor 10C1-like
LOC100485897	GeneID:100485897	NA	alpha-(1,3)-fucosyltransferase 6
LOC100485898	GeneID:100485898	NA	interaptin
LOC100485902	GeneID:100485902	NA	olfactory receptor 146-like
LOC100485927	GeneID:100485927	NA	toll-like receptor 2 type-2
LOC100485943	GeneID:100485943	NA	oocyte zinc finger protein XlCOF7.1
LOC100485955	GeneID:100485955	NA	uncharacterized transmembrane protein DDB_G0289901
LOC100485969	GeneID:100485969	NA	ATP-binding cassette sub-family B member 5
LOC100485970	GeneID:100485970	NA	STE20-like serine/threonine-protein kinase
LOC100485974	GeneID:100485974	NA	rho GTPase-activating protein 39
LOC100485975	GeneID:100485975	NA	uncharacterized LOC100485975
LOC100485981	GeneID:100485981	NA	nicotinamide N-methyltransferase
LOC100485985	GeneID:100485985	NA	extracellular calcium-sensing receptor
LOC100485989	GeneID:100485989	XB-GENE-5817985	provisional ortholog of opsin 1, short wave sensitive
LOC100485991	GeneID:100485991	NA	uncharacterized LOC100485991
LOC100485994	GeneID:100485994	NA	olfactory receptor 5V1-like
LOC100485996	GeneID:100485996	NA	Golgi integral membrane protein 4
LOC100485997	GeneID:100485997	NA	deleted in malignant brain tumors 1 protein
LOC100486003	GeneID:100486003	NA	uncharacterized LOC100486003
LOC100486013	GeneID:100486013	NA	ankyrin repeat domain-containing protein 9
LOC100486017	GeneID:100486017	NA	pancreatic triacylglycerol lipase
LOC100486021	GeneID:100486021	NA	uncharacterized LOC100486021
LOC100486026	GeneID:100486026	NA	olfactory receptor 52L1
LOC100486030	GeneID:100486030	NA	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
LOC100486031	GeneID:100486031	XB-GENE-5727111	provisional ortholog of potassium two pore domain channel subfamily K member 16
LOC100486032	GeneID:100486032	NA	motor neuron and pancreas homeobox protein 1-like
LOC100486033	GeneID:100486033	NA	olfactory receptor 6B1-like
LOC100486035	GeneID:100486035	NA	uncharacterized LOC100486035
LOC100486048	GeneID:100486048	NA	interferon-induced transmembrane protein 1
LOC100486055	GeneID:100486055	NA	olfactory receptor 1
LOC100486056	GeneID:100486056	XB-GENE-5896328	provisional ortholog of tripartite motif containing 25
LOC100486059	GeneID:100486059	NA	uncharacterized LOC100486059
LOC100486078	GeneID:100486078	NA	polypeptide N-acetylgalactosaminyltransferase 10
LOC100486100	GeneID:100486100	NA	olfactory receptor 688
LOC100486117	GeneID:100486117	NA	NXPE family member 3
LOC100486125	GeneID:100486125	NA	serine/threonine-protein kinase Nek11
LOC100486127	GeneID:100486127	XB-GENE-5815363	provisional ortholog of cytochrome P450, family 2, subfamily j, polypeptide 6
LOC100486128	GeneID:100486128	NA	extracellular calcium-sensing receptor
LOC100486129	GeneID:100486129	NA	isoaspartyl peptidase/L-asparaginase
LOC100486133	GeneID:100486133	NA	cortexin-3-like
LOC100486140	GeneID:100486140	NA	olfactory receptor 8H1-like
LOC100486142	GeneID:100486142	NA	uncharacterized LOC100486142
LOC100486148	GeneID:100486148	NA	gamma-aminobutyric acid receptor subunit rho-2
LOC100486155	GeneID:100486155	NA	zinc finger protein 585A-like
LOC100486156	GeneID:100486156	NA	sialic acid-binding Ig-like lectin 12
LOC100486157	GeneID:100486157	NA	ankyrin repeat domain-containing protein 9
LOC100486158	GeneID:100486158	NA	uncharacterized LOC100486158
LOC100486161	GeneID:100486161	NA	pancreatic triacylglycerol lipase
